feature,kruskal_H,p_value,number_of_groups,group_sample_sizes,group_means,group_medians,fdr_q_value,significant_fdr
nostril_region_area,84.424078653312,4.344665039170791e-16,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.0169427|East Asian:0.0144119|South Asian:0.0157644|Latino/Hispanic:0.0156719|SE Asian:0.0149283|European:0.0152075|Middle Eastern:0.0150471,African:0.0165644|East Asian:0.014523|South Asian:0.0155478|Latino/Hispanic:0.0155425|SE Asian:0.0145096|European:0.014888|Middle Eastern:0.0147736,2.586110142363566e-15,True
nose_tip_elevation,15.330674430753147,0.01783499174235468,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.0437218|East Asian:0.0440782|South Asian:0.0400774|Latino/Hispanic:0.0426368|SE Asian:0.043502|European:0.0447111|Middle Eastern:0.0434764,African:0.0420775|East Asian:0.0430634|South Asian:0.0385769|Latino/Hispanic:0.0399692|SE Asian:0.0421419|European:0.0440743|Middle Eastern:0.0416102,0.025049145705554325,True
ala_flare_angle,25.87631327508996,0.00023476881783073645,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:167.311|East Asian:169.619|South Asian:165.385|Latino/Hispanic:165.479|SE Asian:168.508|European:166.673|Middle Eastern:166.943,African:167.965|East Asian:171.085|South Asian:165.154|Latino/Hispanic:165.842|SE Asian:169.188|European:167.319|Middle Eastern:167.677,0.0004075847531783619,True
columella_length,14.674929888758912,0.022941438258636416,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.131568|East Asian:0.134456|South Asian:0.12198|Latino/Hispanic:0.129235|SE Asian:0.134005|European:0.138468|Middle Eastern:0.133999,African:0.127029|East Asian:0.129524|South Asian:0.116855|Latino/Hispanic:0.121242|SE Asian:0.126999|European:0.133107|Middle Eastern:0.126335,0.03186310869255058,True
columella_hang_below_ala,32.02425820179961,1.6143810548612127e-05,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.0404563|East Asian:0.0271826|South Asian:0.0456823|Latino/Hispanic:0.0432003|SE Asian:0.0329301|European:0.0379518|Middle Eastern:0.0356301,African:0.0383149|East Asian:0.0254938|South Asian:0.0445893|Latino/Hispanic:0.0436934|SE Asian:0.0336162|European:0.0363112|Middle Eastern:0.0359008,3.6690478519573015e-05,True
nose_to_face_area_ratio,72.83237569784038,1.0716420591309952e-13,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.0402016|East Asian:0.0361426|South Asian:0.0389133|Latino/Hispanic:0.0378055|SE Asian:0.036952|European:0.0356137|Middle Eastern:0.0361725,African:0.0404841|East Asian:0.0358748|South Asian:0.039124|Latino/Hispanic:0.0374145|SE Asian:0.036662|European:0.0350034|Middle Eastern:0.0357966,4.619146806599117e-13,True
philtrum_length,30.479256173515594,3.186246935014277e-05,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.291182|East Asian:0.282088|South Asian:0.274816|Latino/Hispanic:0.278284|SE Asian:0.277142|European:0.300968|Middle Eastern:0.29295,African:0.290722|East Asian:0.2797|South Asian:0.27266|Latino/Hispanic:0.281211|SE Asian:0.273214|European:0.299836|Middle Eastern:0.2904,6.866911497875597e-05,True
philtrum_width,48.94690108039472,7.640641123359963e-09,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.305792|East Asian:0.30427|South Asian:0.300157|Latino/Hispanic:0.297533|SE Asian:0.302303|European:0.296717|Middle Eastern:0.299068,African:0.304557|East Asian:0.302386|South Asian:0.297717|Latino/Hispanic:0.294969|SE Asian:0.299038|European:0.294976|Middle Eastern:0.298569,2.513368790578935e-08,True
mouth_width,61.256161694534136,2.500017873344782e-11,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.395186|East Asian:0.344313|South Asian:0.377143|Latino/Hispanic:0.379362|SE Asian:0.361753|European:0.368556|Middle Eastern:0.36704,African:0.385052|East Asian:0.33924|South Asian:0.366807|Latino/Hispanic:0.379281|SE Asian:0.356846|European:0.359299|Middle Eastern:0.357316,8.92863526194565e-11,True
mouth_opening,17.323174448221636,0.00816610937860246,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.169609|East Asian:0.14298|South Asian:0.116386|Latino/Hispanic:0.117654|SE Asian:0.133146|European:0.128646|Middle Eastern:0.13784,African:0.164154|East Asian:0.124951|South Asian:0.0791764|Latino/Hispanic:0.116539|SE Asian:0.119682|European:0.115614|Middle Eastern:0.136849,0.01229835749789527,True
upper_vermilion_height,36.23460687967201,2.4817901201563244e-06,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.11584|East Asian:0.12143|South Asian:0.106022|Latino/Hispanic:0.105645|SE Asian:0.116835|European:0.10551|Middle Eastern:0.105377,African:0.111269|East Asian:0.118026|South Asian:0.10522|Latino/Hispanic:0.100993|SE Asian:0.11315|European:0.0956399|Middle Eastern:0.100704,6.204475300390811e-06,True
lower_vermilion_height,17.383223405440397,0.007973377064903716,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.191264|East Asian:0.195833|South Asian:0.185757|Latino/Hispanic:0.182203|SE Asian:0.18565|European:0.177407|Middle Eastern:0.183228,African:0.188178|East Asian:0.194589|South Asian:0.179524|Latino/Hispanic:0.176833|SE Asian:0.187774|European:0.168354|Middle Eastern:0.176133,0.01215453820869469,True
vermilion_total,26.73021180148126,0.0001626654910097132,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.307103|East Asian:0.317262|South Asian:0.291779|Latino/Hispanic:0.287848|SE Asian:0.302485|European:0.282917|Middle Eastern:0.288606,African:0.299765|East Asian:0.30896|South Asian:0.284391|Latino/Hispanic:0.275342|SE Asian:0.297463|European:0.262381|Middle Eastern:0.277556,0.0002863829067072416,True
mouth_corner_drop,25.70888223803018,0.0002522271889144038,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.153255|East Asian:0.175636|South Asian:0.135274|Latino/Hispanic:0.126335|SE Asian:0.165188|European:0.135309|Middle Eastern:0.147594,African:0.14634|East Asian:0.175325|South Asian:0.121313|Latino/Hispanic:0.123595|SE Asian:0.150482|European:0.133453|Middle Eastern:0.137629,0.00043189587142877366,True
mouth_triangularity,25.593578341703,0.00026498830422715895,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.176041|East Asian:0.197996|South Asian:0.158652|Latino/Hispanic:0.148874|SE Asian:0.187111|European:0.157544|Middle Eastern:0.170062,African:0.174656|East Asian:0.200693|South Asian:0.145208|Latino/Hispanic:0.143645|SE Asian:0.176328|European:0.156012|Middle Eastern:0.161664,0.0004476153787620928,True
mouth_tenting,22.94783423118123,0.0008141398505040109,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.570117|East Asian:0.63919|South Asian:0.522802|Latino/Hispanic:0.492261|SE Asian:0.611243|European:0.523296|Middle Eastern:0.557919,African:0.571132|East Asian:0.672114|South Asian:0.482536|Latino/Hispanic:0.494023|SE Asian:0.577407|European:0.520174|Middle Eastern:0.550356,0.0013216556014675502,True
mouth_upper_curvature_c2,30.597127270532024,3.025650157269875e-05,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:1.51961|East Asian:2.07536|South Asian:1.51336|Latino/Hispanic:1.42846|SE Asian:1.84505|European:1.55323|Middle Eastern:1.69616,African:1.53917|East Asian:2.0825|South Asian:1.31738|Latino/Hispanic:1.34022|SE Asian:1.67771|European:1.35918|Middle Eastern:1.53012,6.635197713311128e-05,True
mouth_upper_fit_residual,28.129162380735064,8.884308031944141e-05,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.0138377|East Asian:0.0141925|South Asian:0.0125903|Latino/Hispanic:0.0119616|SE Asian:0.0136834|European:0.012389|Middle Eastern:0.0127563,African:0.0130801|East Asian:0.0131386|South Asian:0.0124551|Latino/Hispanic:0.0114964|SE Asian:0.0127115|European:0.0105824|Middle Eastern:0.0115835,0.0001633144858813261,True
upper_lip_eversion,35.267903170801695,3.8238515677422974e-06,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.0854438|East Asian:0.0862271|South Asian:0.0775897|Latino/Hispanic:0.0773657|SE Asian:0.0832225|European:0.0770299|Middle Eastern:0.0767776,African:0.0815526|East Asian:0.0836071|South Asian:0.0767563|Latino/Hispanic:0.0742719|SE Asian:0.0812304|European:0.0713527|Middle Eastern:0.0734395,9.37218521505465e-06,True
lower_lip_eversion,13.37890725977729,0.037398292735730795,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.121529|East Asian:0.126132|South Asian:0.119648|Latino/Hispanic:0.116885|SE Asian:0.119307|European:0.114121|Middle Eastern:0.118303,African:0.121014|East Asian:0.123311|South Asian:0.118595|Latino/Hispanic:0.112806|SE Asian:0.119096|European:0.108223|Middle Eastern:0.114708,0.049731772254961164,True
lip_midline_x_std,16.708705559661112,0.010415573285549054,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.00412384|East Asian:0.00276532|South Asian:0.00287722|Latino/Hispanic:0.00321637|SE Asian:0.00274009|European:0.00340265|Middle Eastern:0.00275011,African:0.00279054|East Asian:0.00218861|South Asian:0.00217907|Latino/Hispanic:0.0022599|SE Asian:0.00200815|European:0.00239015|Middle Eastern:0.00206012,0.014994606324094288,True
chin_height,67.50652511978713,1.3257600271103159e-12,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.154972|East Asian:0.175191|South Asian:0.176083|Latino/Hispanic:0.18064|SE Asian:0.175862|European:0.187991|Middle Eastern:0.184858,African:0.155325|East Asian:0.175128|South Asian:0.175217|Latino/Hispanic:0.18079|SE Asian:0.174622|European:0.18655|Middle Eastern:0.183003,5.345806560928693e-12,True
chin_width,63.582167592924996,8.39833107394217e-12,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.330619|East Asian:0.321308|South Asian:0.323688|Latino/Hispanic:0.32329|SE Asian:0.322876|European:0.330261|Middle Eastern:0.332305,African:0.328376|East Asian:0.31867|South Asian:0.32106|Latino/Hispanic:0.320066|SE Asian:0.318262|European:0.329266|Middle Eastern:0.33218,3.28059807575866e-11,True
chin_pointedness_angle,46.70042539836309,2.1470335481078186e-08,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:149.114|East Asian:151.564|South Asian:151.79|Latino/Hispanic:152.261|SE Asian:152.876|European:152.044|Middle Eastern:152.422,African:149.534|East Asian:151.567|South Asian:152.072|Latino/Hispanic:151.704|SE Asian:152.862|European:152.246|Middle Eastern:152.327,6.709479837836933e-08,True
jaw_bigonial_width,50.22559356946801,4.236080027856787e-09,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.786683|East Asian:0.788806|South Asian:0.790425|Latino/Hispanic:0.796062|SE Asian:0.794298|European:0.800819|Middle Eastern:0.800914,African:0.78433|East Asian:0.792026|South Asian:0.789833|Latino/Hispanic:0.795865|SE Asian:0.79313|European:0.801092|Middle Eastern:0.798061,1.4708611207836065e-08,True
forehead_height,29.022359782955775,6.024703139368434e-05,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.182622|East Asian:0.180096|South Asian:0.190962|Latino/Hispanic:0.186049|SE Asian:0.186536|European:0.18136|Middle Eastern:0.182074,African:0.183445|East Asian:0.182616|South Asian:0.191807|Latino/Hispanic:0.188627|SE Asian:0.187801|European:0.181241|Middle Eastern:0.184261,0.00011585967575708526,True
forehead_width_upper,112.28803591076381,6.76094399634322e-22,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.754051|East Asian:0.726678|South Asian:0.739218|Latino/Hispanic:0.728951|SE Asian:0.725567|European:0.7292|Middle Eastern:0.73266,African:0.75622|East Asian:0.725802|South Asian:0.74026|Latino/Hispanic:0.729584|SE Asian:0.727495|European:0.727893|Middle Eastern:0.733335,7.042649996190854e-21,True
forehead_width_mid,103.9005044588823,3.847273537179502e-20,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.89154|East Asian:0.865996|South Asian:0.876486|Latino/Hispanic:0.867434|SE Asian:0.863693|European:0.868142|Middle Eastern:0.870597,African:0.892105|East Asian:0.866245|South Asian:0.877863|Latino/Hispanic:0.868339|SE Asian:0.866228|European:0.864976|Middle Eastern:0.870298,3.005682450921486e-19,True
hairline_height,29.022359782955775,6.024703139368434e-05,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.182622|East Asian:0.180096|South Asian:0.190962|Latino/Hispanic:0.186049|SE Asian:0.186536|European:0.18136|Middle Eastern:0.182074,African:0.183445|East Asian:0.182616|South Asian:0.191807|Latino/Hispanic:0.188627|SE Asian:0.187801|European:0.181241|Middle Eastern:0.184261,0.00011585967575708526,True
forehead_taper_ratio,104.097200952348,3.4998722001469344e-20,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.845649|East Asian:0.839032|South Asian:0.843279|Latino/Hispanic:0.840233|SE Asian:0.839932|European:0.839825|Middle Eastern:0.841474,African:0.845918|East Asian:0.837987|South Asian:0.843227|Latino/Hispanic:0.840601|SE Asian:0.8401|European:0.840141|Middle Eastern:0.841749,2.916560166789112e-19,True
face_aspect_ratio,30.07627420105078,3.801745299840797e-05,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.89164|East Asian:0.919767|South Asian:0.915708|Latino/Hispanic:0.909834|SE Asian:0.920455|European:0.911345|Middle Eastern:0.912151,African:0.89373|East Asian:0.918376|South Asian:0.911398|Latino/Hispanic:0.907044|SE Asian:0.926902|European:0.908194|Middle Eastern:0.907617,7.790461680001633e-05,True
face_roundness,62.35531126332444,1.4935310191548152e-11,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.953547|East Asian:0.963275|South Asian:0.960995|Latino/Hispanic:0.962575|SE Asian:0.965037|European:0.962014|Middle Eastern:0.96207,African:0.955085|East Asian:0.96406|South Asian:0.96242|Latino/Hispanic:0.966477|SE Asian:0.966349|European:0.96506|Middle Eastern:0.963815,5.490922864539761e-11,True
face_width_uniformity,78.24799096569295,8.216988460816638e-15,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.770367|East Asian:0.757742|South Asian:0.764822|Latino/Hispanic:0.762507|SE Asian:0.759932|European:0.765009|Middle Eastern:0.766787,African:0.770479|East Asian:0.756924|South Asian:0.764825|Latino/Hispanic:0.761859|SE Asian:0.759111|European:0.765895|Middle Eastern:0.765357,3.9504752215464607e-14,True
jaw_to_forehead_ratio,90.33653592559135,2.579475082081836e-17,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:1.04482|East Asian:1.08727|South Asian:1.0709|Latino/Hispanic:1.09391|SE Asian:1.0967|European:1.10001|Middle Eastern:1.0944,African:1.0402|East Asian:1.09249|South Asian:1.06962|Latino/Hispanic:1.08868|SE Asian:1.09185|European:1.10043|Middle Eastern:1.09338,1.6121719263011474e-16,True
face_triangularity,39.41171612836802,5.943234202120832e-07,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.560901|East Asian:0.556936|South Asian:0.561358|Latino/Hispanic:0.555742|SE Asian:0.554211|European:0.546396|Middle Eastern:0.545894,African:0.564641|East Asian:0.559523|South Asian:0.565385|Latino/Hispanic:0.560698|SE Asian:0.55784|European:0.547577|Middle Eastern:0.547018,1.5477172401356334e-06,True
midface_width,45.99442253261128,2.9681312868805876e-08,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.594509|East Asian:0.574164|South Asian:0.587216|Latino/Hispanic:0.588311|SE Asian:0.580518|European:0.583728|Middle Eastern:0.583332,African:0.591509|East Asian:0.572431|South Asian:0.582969|Latino/Hispanic:0.58585|SE Asian:0.57555|European:0.581021|Middle Eastern:0.581122,9.049180752684718e-08,True
malar_bulge_mean,96.05117115211593,1.6701267506891774e-18,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.0363747|East Asian:0.0428337|South Asian:0.0397886|Latino/Hispanic:0.0414835|SE Asian:0.0420896|European:0.043163|Middle Eastern:0.0422064,African:0.0364512|East Asian:0.0437661|South Asian:0.0397278|Latino/Hispanic:0.0417699|SE Asian:0.0420568|European:0.0433591|Middle Eastern:0.0421333,1.0987675991376168e-17,True
malar_bulge_asym,13.977750668806777,0.029885691110377283,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:2.12287|East Asian:1.57908|South Asian:1.6145|Latino/Hispanic:1.7157|SE Asian:1.58722|European:1.57755|Middle Eastern:1.47516,African:1.70855|East Asian:1.2966|South Asian:1.04763|Latino/Hispanic:1.06225|SE Asian:1.1967|European:1.30704|Middle Eastern:1.05643,0.04060555857388218,True
cheek_area_mean,16.967433078829437,0.00940368070944845,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.00736801|East Asian:0.00773332|South Asian:0.00730781|Latino/Hispanic:0.00786431|SE Asian:0.00769764|European:0.00776341|Middle Eastern:0.00747754,African:0.00659724|East Asian:0.0072526|South Asian:0.00675342|Latino/Hispanic:0.00719736|SE Asian:0.00722315|European:0.00736797|Middle Eastern:0.00707916,0.013828942219777133,True
