internal_syndrome_name,group,disease_images
Hennekam lymphangiectasia-lymphedema syndrome,European,9
Hennekam lymphangiectasia-lymphedema syndrome,Middle Eastern,4
Hermansky-Pudlak syndrome,East Asian,2
Hermansky-Pudlak syndrome,European,1
Hermansky-Pudlak syndrome,Middle Eastern,1
Holoprosencephaly,African,1
Holoprosencephaly,European,21
Hutchinson-Gilford progeria,African,5
Hutchinson-Gilford progeria,East Asian,6
Hutchinson-Gilford progeria,European,31
Hutchinson-Gilford progeria,Latino/Hispanic,7
Hutchinson-Gilford progeria,Middle Eastern,1
Hutchinson-Gilford progeria,South Asian,6
Hyper-IgE recurrent infection syndrome,East Asian,1
Hyper-IgE recurrent infection syndrome,European,1
Hyper-IgE recurrent infection syndrome,Latino/Hispanic,1
Hyper-IgE recurrent infection syndrome,Middle Eastern,6
Hyper-IgE recurrent infection syndrome,South Asian,5
Hyperphosphatasia with mental retardation syndrome,African,27
Hyperphosphatasia with mental retardation syndrome,East Asian,1
Hyperphosphatasia with mental retardation syndrome,European,27
Hyperphosphatasia with mental retardation syndrome,Middle Eastern,16
Hypoplastic left heart syndrome,European,2
"Hypotonia, infantile, with psychomotor retardation and characteristic facies",African,6
"Hypotonia, infantile, with psychomotor retardation and characteristic facies",East Asian,1
"Hypotonia, infantile, with psychomotor retardation and characteristic facies",European,3
"Hypotonia, infantile, with psychomotor retardation and characteristic facies",Latino/Hispanic,3
"Hypotonia, infantile, with psychomotor retardation and characteristic facies",Middle Eastern,1
IMMUNODEFICIENCY 23; IMD23,Middle Eastern,1
IMPAIRED INTELLECTUAL DEVELOPMENT AND DISTINCTIVE FACIAL FEATURES WITH OR WITHOUT CARDIAC DEFECTS; MRFACD,African,1
IMPAIRED INTELLECTUAL DEVELOPMENT AND DISTINCTIVE FACIAL FEATURES WITH OR WITHOUT CARDIAC DEFECTS; MRFACD,European,23
IMPAIRED INTELLECTUAL DEVELOPMENT AND DISTINCTIVE FACIAL FEATURES WITH OR WITHOUT CARDIAC DEFECTS; MRFACD,Middle Eastern,2
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH AUTISTIC FEATURES AND LANGUAGE DELAY, WITH OR WITHOUT SEIZURES; IDDALDS",European,7
INTELLECTUAL DEVELOPMENTAL DISORDER WITH BEHAVIORAL ABNORMALITIES AND CRANIOFACIAL DYSMORPHISM WITH OR WITHOUT SEIZURES; IDDBCS,European,3
INTELLECTUAL DEVELOPMENTAL DISORDER WITH CARDIAC DEFECTS AND DYSMORPHIC FACIES; IDDCDF,African,1
INTELLECTUAL DEVELOPMENTAL DISORDER WITH CARDIAC DEFECTS AND DYSMORPHIC FACIES; IDDCDF,European,1
INTELLECTUAL DEVELOPMENTAL DISORDER WITH CARDIAC DEFECTS AND DYSMORPHIC FACIES; IDDCDF,Middle Eastern,7
INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND BEHAVIORAL ABNORMALITIES; IDDFBA,African,1
INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND BEHAVIORAL ABNORMALITIES; IDDFBA,East Asian,2
INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND BEHAVIORAL ABNORMALITIES; IDDFBA,European,24
INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND BEHAVIORAL ABNORMALITIES; IDDFBA,Middle Eastern,1
INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND BEHAVIORAL ABNORMALITIES; IDDFBA,SE Asian,1
INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND PTOSIS; IDDDFP,European,12
INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND PTOSIS; IDDDFP,Middle Eastern,2
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, SEIZURES, AND DISTAL LIMB ANOMALIES; IDDFSDA",African,1
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, SEIZURES, AND DISTAL LIMB ANOMALIES; IDDFSDA",Latino/Hispanic,1
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, SEIZURES, AND DISTAL LIMB ANOMALIES; IDDFSDA",Middle Eastern,6
INTELLECTUAL DEVELOPMENTAL DISORDER WITH HYPERTELORISM AND DISTINCTIVE FACIES; IDDHDF,African,1
INTELLECTUAL DEVELOPMENTAL DISORDER WITH HYPERTELORISM AND DISTINCTIVE FACIES; IDDHDF,East Asian,4
INTELLECTUAL DEVELOPMENTAL DISORDER WITH HYPOTONIA AND BEHAVIORAL ABNORMALITIES; IDDHBA,European,3
INTELLECTUAL DEVELOPMENTAL DISORDER WITH HYPOTONIA AND BEHAVIORAL ABNORMALITIES; IDDHBA,South Asian,1
INTELLECTUAL DEVELOPMENTAL DISORDER WITH IMPAIRED LANGUAGE AND DYSMORPHIC FACIES; IDDILF,European,3
INTELLECTUAL DEVELOPMENTAL DISORDER WITH IMPAIRED LANGUAGE AND DYSMORPHIC FACIES; IDDILF,Latino/Hispanic,1
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH MACROCEPHALY, SEIZURES, AND SPEECH DELAY; IDDMSSD",African,2
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH MACROCEPHALY, SEIZURES, AND SPEECH DELAY; IDDMSSD",Middle Eastern,3
INTELLECTUAL DEVELOPMENTAL DISORDER WITH PERSISTENCE OF FETAL HEMOGLOBIN,East Asian,2
INTELLECTUAL DEVELOPMENTAL DISORDER WITH PERSISTENCE OF FETAL HEMOGLOBIN,European,27
INTELLECTUAL DEVELOPMENTAL DISORDER WITH SEVERE SPEECH AND AMBULATION DEFECTS; IDDSSAD,European,7
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SHORT STATURE, FACIAL ANOMALIES, AND SPEECH DEFECTS; IDDSFAS",South Asian,2
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, AUTISM, AND DYSMORPHIC FACIES; IDDSADF",European,8
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, DYSMORPHIC FACIES, AND T-CELL ABNORMALITIES; IDDSFTA",East Asian,4
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, DYSMORPHIC FACIES, AND T-CELL ABNORMALITIES; IDDSFTA",European,8
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, DYSMORPHIC FACIES, AND T-CELL ABNORMALITIES; IDDSFTA",Latino/Hispanic,2
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, DYSMORPHIC FACIES, AND T-CELL ABNORMALITIES; IDDSFTA",Middle Eastern,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 21; MRD21",African,1
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 21; MRD21",East Asian,3
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 21; MRD21",European,19
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 21; MRD21",Middle Eastern,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 23; MRD23",European,10
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 23; MRD23",Middle Eastern,1
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 26; MRD26",African,1
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 26; MRD26",European,3
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 26; MRD26",Middle Eastern,1
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 38; MRD38",East Asian,3
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 40; MRD40",European,13
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 50, WITH BEHAVIORAL ABNORMALITIES; MRD50",European,50
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 50, WITH BEHAVIORAL ABNORMALITIES; MRD50",Latino/Hispanic,1
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 50, WITH BEHAVIORAL ABNORMALITIES; MRD50",South Asian,3
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 53; MRD53",European,4
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 59; MRD59",European,4
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 5; MRD5",East Asian,1
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 5; MRD5",European,37
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 5; MRD5",Latino/Hispanic,1
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 62; MRD62",African,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 62; MRD62",European,5
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 7; MRD7",East Asian,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 7; MRD7",European,31
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 7; MRD7",Latino/Hispanic,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 13; MRT13",African,1
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 13; MRT13",Middle Eastern,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 39; MRT39",East Asian,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 46; MRT46",Middle Eastern,5
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 58; MRT58",European,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 5; MRT5",East Asian,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 65; MRT65",European,3
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 67; MRT67",European,6
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 72; MRT72",Middle Eastern,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 72; MRT72",SE Asian,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 7; MRT7",European,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 93; XLID93",European,19
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 98; XLID98",European,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 99, SYNDROMIC, FEMALE-RESTRICTED; MRXS99F",African,1
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 99, SYNDROMIC, FEMALE-RESTRICTED; MRXS99F",East Asian,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 99, SYNDROMIC, FEMALE-RESTRICTED; MRXS99F",European,14
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 33; MRXS33",East Asian,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 33; MRXS33",European,31
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 33; MRXS33",Latino/Hispanic,1
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 34; MRXS34",African,1
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 34; MRXS34",Latino/Hispanic,1
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, 35; MRXS35",European,4
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, ARMFIELD TYPE; MRXSA",European,7
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, BILLUART TYPE; MRXSBL",European,8
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, CABEZAS TYPE; MRXSC",European,28
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, CLAES-JENSEN TYPE; MRXSCJ",European,5
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, HACKMANN-DI DONATO TYPE; MRXSHD",East Asian,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, HACKMANN-DI DONATO TYPE; MRXSHD",European,3
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, LUBS TYPE; MRXSL",East Asian,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, LUBS TYPE; MRXSL",European,27
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, LUJAN-FRYNS TYPE; MRXSLF",African,1
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, LUJAN-FRYNS TYPE; MRXSLF",South Asian,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN",East Asian,1
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN",European,4
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN",Latino/Hispanic,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, RAYMOND TYPE; MRXSR",European,6
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, SNIJDERS BLOK TYPE; MRXSSB",European,33
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, SNYDER-ROBINSON TYPE; MRXSSR",African,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, SNYDER-ROBINSON TYPE; MRXSSR",European,1
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, SNYDER-ROBINSON TYPE; MRXSSR",Latino/Hispanic,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, TURNER TYPE; MRXST",European,20
"INTRAUTERINE GROWTH RETARDATION, METAPHYSEAL DYSPLASIA, ADRENAL HYPOPLASIA CONGENITA, GENITAL ANOMALIES, AND IMMUNODEFICIENCY; IMAGEI",European,10
Immunodeficiency-centromeric instability-facial anomalies,African,1
Immunodeficiency-centromeric instability-facial anomalies,European,2
Immunodeficiency-centromeric instability-facial anomalies,SE Asian,1
Infantile liver failure syndrome,European,5
JANSEN-DE VRIES SYNDROME; JDVS,European,7
JARID2,European,2
JAWAD SYNDROME; JWDS,South Asian,2
JOHANSON-BLIZZARD SYNDROME; JBS,European,5
JOHANSON-BLIZZARD SYNDROME; JBS,Latino/Hispanic,1
Joubert syndrome,African,5
Joubert syndrome,European,31
Joubert syndrome,Middle Eastern,2
Joubert syndrome,South Asian,1
KAGAMI-OGATA SYNDROME,East Asian,6
KAUFMAN OCULOCEREBROFACIAL SYNDROME; KOS,African,1
KAUFMAN OCULOCEREBROFACIAL SYNDROME; KOS,European,9
KAUFMAN OCULOCEREBROFACIAL SYNDROME; KOS,Latino/Hispanic,6
KAUFMAN OCULOCEREBROFACIAL SYNDROME; KOS,Middle Eastern,3
KBG SYNDROME; KBGS,African,1
KBG SYNDROME; KBGS,European,143
KBG SYNDROME; KBGS,Latino/Hispanic,6
KBG SYNDROME; KBGS,Middle Eastern,6
KCTD3,Middle Eastern,5
KDM2B,East Asian,1
KDM2B,European,6
KDM2B,Latino/Hispanic,2
KEIPERT SYNDROME; KPTS,European,5
KEPPEN-LUBINSKY SYNDROME; KPLBS,European,1
KEPPEN-LUBINSKY SYNDROME; KPLBS,Latino/Hispanic,1
KEPPEN-LUBINSKY SYNDROME; KPLBS,Middle Eastern,1
KOOLEN-DE VRIES SYNDROME; KDVS,African,1
KOOLEN-DE VRIES SYNDROME; KDVS,European,47
KOOLEN-DE VRIES SYNDROME; KDVS,South Asian,1
KOSAKI OVERGROWTH SYNDROME; KOGS,European,6
Kabuki syndrome,African,5
Kabuki syndrome,East Asian,31
Kabuki syndrome,European,99
Kabuki syndrome,Latino/Hispanic,5
Kabuki syndrome,Middle Eastern,8
Kabuki syndrome,South Asian,2
Kenny-Caffey syndrome,European,2
Kleefstra syndrome,European,47
Klippel-Feil syndrome,European,1
Klippel-Feil syndrome,Middle Eastern,4
LACRIMOAURICULODENTODIGITAL SYNDROME; LADD,European,1
LAMB-SHAFFER SYNDROME; LAMSHF,East Asian,1
LAMB-SHAFFER SYNDROME; LAMSHF,European,1
LAMB4,African,2
LARON SYNDROME,Latino/Hispanic,2
LARSEN SYNDROME; LRS,African,1
LARSEN SYNDROME; LRS,East Asian,1
LARSEN SYNDROME; LRS,European,7
LARSEN SYNDROME; LRS,Latino/Hispanic,1
LARSEN SYNDROME; LRS,Middle Eastern,5
LARSEN SYNDROME; LRS,South Asian,6
LATERAL MENINGOCELE SYNDROME; LMNS,European,7
LENZ-MAJEWSKI HYPEROSTOTIC DWARFISM; LMHD,European,5
LEOPARD syndrome,East Asian,3
LEOPARD syndrome,European,1
LI-CAMPEAU SYNDROME; LICAS,African,2
LI-CAMPEAU SYNDROME; LICAS,European,2
LI-CAMPEAU SYNDROME; LICAS,Middle Eastern,1
LIG4 SYNDROME,African,1
LIG4 SYNDROME,East Asian,2
LIG4 SYNDROME,European,10
LIG4 SYNDROME,Middle Eastern,1
LUSCAN-LUMISH SYNDROME; LLS,European,14
"Leukodystrophy, hypomyelinating",African,8
"Leukodystrophy, hypomyelinating",Middle Eastern,3
Linear skin defects with multiple congenital anomalies,European,8
Lissencephaly,European,3
Long QT syndrome,East Asian,2
Long QT syndrome,European,3
"MACROCEPHALY, ACQUIRED, WITH IMPAIRED INTELLECTUAL DEVELOPMENT; MACID",European,13
"MACROCEPHALY, DYSMORPHIC FACIES, AND PSYCHOMOTOR RETARDATION; MDFPMR",South Asian,2
MACROCEPHALY/AUTISM SYNDROME,European,1
MACS SYNDROME,European,5
MACS SYNDROME,Middle Eastern,3
MANDIBULOFACIAL DYSOSTOSIS WITH ALOPECIA; MFDA,European,4
"MANDIBULOFACIAL DYSOSTOSIS, GUION-ALMEIDA TYPE; MFDGA",European,10
"MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA",African,1
"MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA",European,14
"MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA",Latino/Hispanic,2
"MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA",Middle Eastern,8
"MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA",South Asian,2
MAPKAPK5,African,2
MAPKAPK5,Middle Eastern,1
MARBACH-RUSTAD PROGEROID SYNDROME; MARUPS,European,2
MARFAN SYNDROME; MFS,African,2
MARFAN SYNDROME; MFS,European,1
MARFANOID-PROGEROID-LIPODYSTROPHY SYNDROME; MFLS,European,8
MARSHALL-SMITH SYNDROME; MRSHSS,African,1
MARSHALL-SMITH SYNDROME; MRSHSS,European,17
MARSHALL-SMITH SYNDROME; MRSHSS,Latino/Hispanic,1
MARSHALL-SMITH SYNDROME; MRSHSS,South Asian,1
MCCUNE-ALBRIGHT SYNDROME; MAS,European,1
MEGALENCEPHALY-CAPILLARY MALFORMATION-POLYMICROGYRIA SYNDROME; MCAP,European,2
MELNICK-NEEDLES SYNDROME; MNS,Latino/Hispanic,1
MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND WITH OR WITHOUT AUTISTIC FEATURES,European,4
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 48; MRD48",European,3
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 51; MRD51",European,3
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 54; MRD54",European,11
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 57; MRD57",European,36
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 57; MRD57",Middle Eastern,1
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 58; MRD58",European,7
"MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE I; MOPD1",African,1
"MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE I; MOPD1",European,2
"MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II; MOPD2",African,7
"MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II; MOPD2",South Asian,1
"MICROCEPHALY WITH OR WITHOUT CHORIORETINOPATHY, LYMPHEDEMA, OR MENTAL RETARDATION; MCLMR",European,6
"MICROCEPHALY, GROWTH DEFICIENCY, SEIZURES, AND BRAIN MALFORMATIONS; MIGSB",African,2
MICROCEPHALY-CAPILLARY MALFORMATION SYNDROME; MICCAP,East Asian,1
MICROCEPHALY-CAPILLARY MALFORMATION SYNDROME; MICCAP,Middle Eastern,2
MOEBIUS SYNDROME; MBS,European,5
MOEBIUS SYNDROME; MBS,Latino/Hispanic,7
MOWAT-WILSON SYNDROME; MOWS,African,2
MOWAT-WILSON SYNDROME; MOWS,East Asian,1
MOWAT-WILSON SYNDROME; MOWS,European,41
MOWAT-WILSON SYNDROME; MOWS,Latino/Hispanic,1
MUCOLIPIDOSIS II ALPHA/BETA,East Asian,2
MUCOLIPIDOSIS II ALPHA/BETA,European,14
MUCOLIPIDOSIS II ALPHA/BETA,Latino/Hispanic,1
MUCOLIPIDOSIS II ALPHA/BETA,Middle Eastern,3
MUCOLIPIDOSIS II ALPHA/BETA,South Asian,1
MUENKE SYNDROME; MNKES,European,4
"MULTIPLE CONGENITAL ANOMALIES-NEURODEVELOPMENTAL SYNDROME, X-LINKED; MCAND",East Asian,4
"MULTIPLE PTERYGIUM SYNDROME, ESCOBAR VARIANT; EVMPS",African,2
"MYASTHENIC SYNDROME, CONGENITAL, 19; CMS19",European,2
"MYASTHENIC SYNDROME, CONGENITAL, 22; CMS22",European,4
MYHRE SYNDROME; MYHRS,African,1
MYHRE SYNDROME; MYHRS,East Asian,12
MYHRE SYNDROME; MYHRS,European,18
MYHRE SYNDROME; MYHRS,Latino/Hispanic,1
"MYOPATHY, CONGENITAL, BAILEY-BLOCH; MYPBB",Latino/Hispanic,3
"MYOPATHY, CONGENITAL, BAILEY-BLOCH; MYPBB",Middle Eastern,1
Mandibuloacral dysplasia with lipodystrophy,African,3
Meier-Gorlin syndrome,European,13
Meier-Gorlin syndrome,Middle Eastern,5
Meier-Gorlin syndrome,South Asian,2
Menke-Hennekam syndrome,East Asian,5
Menke-Hennekam syndrome,European,37
Methylmalonic aciduria and homocystinuria,East Asian,1
"Microcephaly, epilepsy, and diabetes syndrome",African,3
"Microcephaly, growth restriction and increased sister chromatid exchange",East Asian,1
"Microcephaly, growth restriction and increased sister chromatid exchange",European,4
"Microcephaly, growth restriction and increased sister chromatid exchange",South Asian,2
"Microcephaly, primary",Middle Eastern,2
"Microcephaly, primary",South Asian,5
"Microphthalmia, syndromic",East Asian,1
"Microphthalmia, syndromic",European,9
Mitochondrial DNA depletion syndrome,European,2
"Mitochondrial complex V (ATP synthase) deficiency, nuclear type",European,1
Mucopolysaccharidoses,African,5
Mucopolysaccharidoses,East Asian,3
Mucopolysaccharidoses,European,34
Mucopolysaccharidoses,Latino/Hispanic,9
Mucopolysaccharidoses,Middle Eastern,5
Mucopolysaccharidoses,SE Asian,4
Mucopolysaccharidoses,South Asian,3
Multiple congenital anomalies-hypotonia-seizures syndrome,African,3
Multiple congenital anomalies-hypotonia-seizures syndrome,East Asian,5
Multiple congenital anomalies-hypotonia-seizures syndrome,European,10
Multiple congenital anomalies-hypotonia-seizures syndrome,Latino/Hispanic,1
Multiple congenital anomalies-hypotonia-seizures syndrome,Middle Eastern,3
"Muscular dystrophy-dystroglycanopathy, type A",African,1
"Myopathy, centronuclear",European,4
"Myopathy, centronuclear",Middle Eastern,1
Myotonic dystrophy,European,2
"NABAIS SA-DE VRIES SYNDROME, TYPE 1; NSDVS1",European,2
"NABAIS SA-DE VRIES SYNDROME, TYPE 2; NSDVS2",European,4
NABLUS MASK-LIKE FACIAL SYNDROME; NMLFS,European,7
NANCE-HORAN SYNDROME; NHS,Latino/Hispanic,2
NANCE-HORAN SYNDROME; NHS,South Asian,1
NEURODEVELOPMENTAL DISORDER AND LANGUAGE DELAY WITH OR WITHOUT STRUCTURAL BRAIN ABNORMALITIES; NEDLBA,African,1
NEURODEVELOPMENTAL DISORDER AND LANGUAGE DELAY WITH OR WITHOUT STRUCTURAL BRAIN ABNORMALITIES; NEDLBA,European,3
NEURODEVELOPMENTAL DISORDER AND STRUCTURAL BRAIN ANOMALIES WITH OR WITHOUT SEIZURES AND SPASTICITY; NEDBASS,European,2
"NEURODEVELOPMENTAL DISORDER WITH ATAXIC GAIT, ABSENT SPEECH, AND DECREASED CORTICAL WHITE MATTER; NDAGSCW",European,2
NEURODEVELOPMENTAL DISORDER WITH CENTRAL AND PERIPHERAL MOTOR DYSFUNCTION; NEDCPMD,African,1
NEURODEVELOPMENTAL DISORDER WITH CENTRAL AND PERIPHERAL MOTOR DYSFUNCTION; NEDCPMD,European,1
NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND DISTAL LIMB ANOMALIES; NEDDFL,European,12
NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND DISTAL LIMB ANOMALIES; NEDDFL,Latino/Hispanic,1
NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND DISTAL SKELETAL ANOMALIES; NEDDFSA,European,11
NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND DISTAL SKELETAL ANOMALIES; NEDDFSA,Latino/Hispanic,1
"NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, SLEEP DISTURBANCE, AND BRAIN ABNORMALITIES; NEDFASB",African,1
"NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, SLEEP DISTURBANCE, AND BRAIN ABNORMALITIES; NEDFASB",European,3
"NEURODEVELOPMENTAL DISORDER WITH EPILEPSY, CATARACTS, FEEDING DIFFICULTIES, AND DELAYED BRAIN MYELINATION; NECFM",European,3
"NEURODEVELOPMENTAL DISORDER WITH EPILEPSY, CATARACTS, FEEDING DIFFICULTIES, AND DELAYED BRAIN MYELINATION; NECFM",Latino/Hispanic,2
"NEURODEVELOPMENTAL DISORDER WITH EPILEPSY, CATARACTS, FEEDING DIFFICULTIES, AND DELAYED BRAIN MYELINATION; NECFM",Middle Eastern,1
"NEURODEVELOPMENTAL DISORDER WITH EPILEPSY, SPASTICITY, AND BRAIN ATROPHY; NEDESBA",European,2
"NEURODEVELOPMENTAL DISORDER WITH EPILEPSY, SPASTICITY, AND BRAIN ATROPHY; NEDESBA",Middle Eastern,1
"NEURODEVELOPMENTAL DISORDER WITH HEARING LOSS, SEIZURES, AND BRAIN ABNORMALITIES; NEDHSB",East Asian,2
"NEURODEVELOPMENTAL DISORDER WITH HEARING LOSS, SEIZURES, AND BRAIN ABNORMALITIES; NEDHSB",European,4
