disease,row_count
MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND WITH OR WITHOUT AUTISTIC FEATURES__6ecd2ec1,5
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 51; MRD51__5691bf95",5
"MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE I; MOPD1__750138dc",5
"Myopathy, centronuclear__ef188f60",5
NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND AUTISTIC FEATURES WITH OR WITHOUT HYPERKINETIC MOVEMENTS; NEDHAHM__a9ed43f1,5
"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, FACIAL DYSMORPHISM, AND BRAIN ABNORMALITIES; NEDHFBA__51753bfe",5
TRICHOHEPATONEURODEVELOPMENTAL SYNDROME; THNS__ca2e27f5,5
"OHDO SYNDROME, X-LINKED; OHDOX__e6da3690",5
PLXND1__648a4358,5
SCAF4__368b9191,5
"SHORT STATURE, IMPAIRED INTELLECTUAL DEVELOPMENT, MICROCEPHALY, HYPOTONIA, AND OCULAR ANOMALIES; SIMHA__16778791",5
"SPASTIC PARAPLEGIA 50, AUTOSOMAL RECESSIVE; SPG50__f879b2ca",5
"SPONDYLOEPIMETAPHYSEAL DYSPLASIA, ISIDOR-TOUTAIN TYPE; SEMDIST__37283aa2",5
THUMPD1__a714a9bc,5
VAN DER WOUDE SYNDROME 1; VWS1__93efcd11,5
YWHAZ__b7724749,5
Infantile liver failure syndrome__5df372d4,5
KCTD3__d390a103,5
DUANE-RADIAL RAY SYNDROME; DRRS__30bbfa3b,5
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, 35; MRXS35__5aa58c17",5
DONNAI-BARROW SYNDROME__4d7ff5bc,5
ABLEPHARON-MACROSTOMIA SYNDROME; AMS__0ee470df,5
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 46; MRT46__096007b3",5
BRUNET-WAGNER NEURODEVELOPMENTAL SYNDROME; BRUWAG__0dc824b9,5
"CARDIAC, FACIAL, AND DIGITAL ANOMALIES WITH DEVELOPMENTAL DELAY; CAFDADD__ec7182a6",5
"CEREBELLAR ATROPHY, VISUAL IMPAIRMENT, AND PSYCHOMOTOR RETARDATION; CAVIPMR__d69f137e",5
CHROMOSOME 2q37 DELETION SYNDROME__da58b76a,5
COHEN-GIBSON SYNDROME; COGIS__28c37e1f,5
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 23; DEE23__e1a3f133,5
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 76; DEE76__2757d70b,5
"DEVELOPMENTAL DELAY WITH SHORT STATURE, DYSMORPHIC FACIAL FEATURES, AND SPARSE HAIR; DEDSSH__06ac2b4a",5
CIMDAG SYNDROME; CIMDAG__c83dd446,5
DPH5__0b49fde6,5
"Facial paresis, hereditary congenital__9cf26d12",5
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 53; MRD53__fb585755",5
INTELLECTUAL DEVELOPMENTAL DISORDER WITH HYPERTELORISM AND DISTINCTIVE FACIES; IDDHDF__d646cd9d,5
Glut1 deficiency syndrome__006d0109,5
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SHORT STATURE, FACIAL ANOMALIES, AND SPEECH DEFECTS; IDDSFAS__9366bcad",5
FRA10AC1__6118a2d4,5
FAUNDES-BANKA SYNDROME; FABAS__e1ab88ff,5
"FACIAL DYSMORPHISM, HYPERTRICHOSIS, EPILEPSY, INTELLECTUAL_DEVELOPMENTAL DELAY, AND GINGIVAL OVERGROWTH SYNDROME; FHEIG__fdc86ce3",5
"NEURODEVELOPMENTAL DISORDER WITH IMPAIRED INTELLECTUAL DEVELOPMENT, HYPOTONIA, AND ATAXIA; NEDIDHA__7f194027",4
MUENKE SYNDROME; MNKES__051ddad5,4
"MYASTHENIC SYNDROME, CONGENITAL, 19; CMS19__5f2506e0",4
MARFAN SYNDROME; MFS__f14dc6ac,4
"MYASTHENIC SYNDROME, CONGENITAL, 22; CMS22__c3e888d0",4
"Microcephaly, epilepsy, and diabetes syndrome__8e218601",4
Mitochondrial DNA depletion syndrome__476fb708,4
"NABAIS SA-DE VRIES SYNDROME, TYPE 2; NSDVS2__a61c568e",4
NAE1__c162e7d5,4
NEURODEVELOPMENTAL DISORDER AND STRUCTURAL BRAIN ANOMALIES WITH OR WITHOUT SEIZURES AND SPASTICITY; NEDBASS__23c4a335,4
"NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, SLEEP DISTURBANCE, AND BRAIN ABNORMALITIES; NEDFASB__4120092f",4
NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND DYSMORPHIC FACIES; NEDHYDF__08d35e43,4
"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, NEONATAL RESPIRATORY INSUFFICIENCY, AND THERMODYSREGULATION; NEDHRIT__1cd8909a",4
Trichothiodystrophy__ad7c58c6,4
"NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT ANOMALIES OF THE BRAIN, EYE, OR HEART; NEDBEH__462fbfbe",4
"NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT HYPOTONIA, SEIZURES, AND CEREBELLAR ATROPHY; NEDHSCA__f1d85e9a",4
NEURODEVELOPMENTAL DISORDER WITH STRUCTURAL BRAIN ANOMALIES AND DYSMORPHIC FACIES; NEDBAF__5267c6eb,4
"Osteopetrosis, autosomal recessive__f65ee20e",4
"PACHYGYRIA, MICROCEPHALY, DEVELOPMENTAL DELAY, AND DYSMORPHIC FACIES, WITH OR WITHOUT SEIZURES; PAMDDFS__dfd919a5",4
PGM2L1__92be65c6,4
"SHORT STATURE, RHIZOMELIC, WITH MICROCEPHALY, MICROGNATHIA, AND DEVELOPMENTAL DELAY; SRMMD__d8cdde37",4
STEEL SYNDROME; STLS__f4e3c1f7,4
SULEIMAN-EL-HATTAB SYNDROME; SULEHS__c812c083,4
Urofacial syndrome__ab191038,4
VAN DEN ENDE-GUPTA SYNDROME; VDEGS__f9b5ccdc,4
"INTELLECTUAL DISABILITY-HYPOTONIC FACIES SYNDROME, X-LINKED, 1; MRXHF1__cb4aa3c4",4
MARBACH-RUSTAD PROGEROID SYNDROME; MARUPS__0ece02ad,4
RIDDLE SYNDROME; RIDL__592ca236,4
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 72; MRT72__d08757ea",4
DEGCAGS SYNDROME; DEGCAGS__8d383ebb,4
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 59; MRD59__f1b3798d",4
ASPARAGINE SYNTHETASE DEFICIENCY; ASNSD__cac34c15,4
ATAXIA-TELANGIECTASIA; AT__d9228db4,4
CARDIOSPONDYLOCARPOFACIAL SYNDROME; CSCF__09e041a7,4
CHANARIN-DORFMAN SYNDROME; CDS__5924088d,4
"CHARCOT-MARIE-TOOTH DISEASE, TYPE 4B3; CMT4B3__5647be72",4
COCKAYNE SYNDROME A; CSA__9a125272,4
"CRANIOFACIAL DYSMORPHISM, SKELETAL ANOMALIES, AND MENTAL RETARDATION SYNDROME; CFSMR__d608a659",4
CRANIOFACIAL MICROSOMIA; CFM__8a1d2548,4
CSNK1G1__957ac5ab,4
CYSTIC FIBROSIS; CF__7fff2877,4
"DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, MENTAL RETARDATION, AND SEIZURES SYNDROME; DOORS__55d72104",4
"CONGENITAL CONTRACTURES OF THE LIMBS AND FACE, HYPOTONIA, AND DEVELOPMENTAL DELAY; CLIFAHDD__a79a9b22",4
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 7; DEE7__e4bbb232,4
"GLOBAL DEVELOPMENTAL DELAY, ABSENT OR HYPOPLASTIC CORPUS CALLOSUM, AND DYSMORPHIC FACIES; GDACCF__e5243c57",4
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 95; DEE95__f74b3f48,4
INTELLECTUAL DEVELOPMENTAL DISORDER WITH IMPAIRED LANGUAGE AND DYSMORPHIC FACIES; IDDILF__e3ef25df,4
IMMUNODEFICIENCY 23; IMD23__d98d765b,4
GOMEZ-LOPEZ-HERNANDEZ SYNDROME; GLHS__b3882490,4
"GONADAL DYSGENESIS, DYSMORPHIC FACIES, RETINAL DYSTROPHY, AND MYOPATHY; GDRM__b78493e0",4
GLOBAL DEVELOPMENTAL DELAY WITH SPEECH AND BEHAVIORAL ABNORMALITIES; GDSBA__65900b47,4
Ectodermal dysplasia (select examples)__b4a56494,4
Diamond-Blackfan anemia__454976d9,4
Desbuquois dysplasia__6192a45e,4
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 38; MRD38__b1564555",4
NIZON-ISIDOR SYNDROME; NIZIDS__d32ad35d,3
NEURODEVELOPMENTAL DISORDER WITH NONSPECIFIC BRAIN ABNORMALITIES AND WITH OR WITHOUT SEIZURES; NEDBAS__f4d141f9,3
NEUROFACIOSKELETAL SYNDROME WITH OR WITHOUT RENAL AGENESIS; NFSRA__ff5da6ae,3
NEURODEVELOPMENTAL DISORDER WITH SEIZURES AND SPEECH AND WALKING IMPAIRMENT; NEDSSWI__b78ddcce,3
NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT EARLY-ONSET GENERALIZED EPILEPSY; NEDEGE__d73bd326,3
NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT AUTISTIC FEATURES AND_OR STRUCTURAL BRAIN ABNORMALITIES; NEDASB__5eb18dd7,3
"NEURODEVELOPMENTAL DISORDER WITH CATARACTS, POOR GROWTH, AND DYSMORPHIC FACIES; NDCAGF__b521eab1",3
NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY AND STRUCTURAL BRAIN ANOMALIES; NEDMIBA__d6ac6893,3
"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, MICROCEPHALY, AND SEIZURES; NEDHYMS__e1bfb9ed",3
"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND CEREBELLAR ATROPHY, WITH OR WITHOUT SEIZURES; NEDHCAS__6d1cb7e7",3
NEURODEVELOPMENTAL DISORDER WITH CENTRAL AND PERIPHERAL MOTOR DYSFUNCTION; NEDCPMD__6cc55f46,3
NEURODEVELOPMENTAL DISORDER WITH BRAIN ANOMALIES AND WITH OR WITHOUT VERTEBRAL OR CARDIAC ANOMALIES; NEDBAVC__f9c001dd,3
PETTIGREW SYNDROME; PGS__544c4a5f,3
OCULOSKELETODENTAL SYNDROME; OCSKD__6bbe87b5,3
WRINKLY SKIN SYNDROME; WSS__572dbc73,3
"PINEAL HYPERPLASIA, INSULIN-RESISTANT DIABETES MELLITUS, AND SOMATIC ABNORMALITIES__4f470373",3
PPFIA3__7543902b,3
RADIO-TARTAGLIA SYNDROME; RATARS__43a2d10f,3
RECQL__f0416151,3
ROBINOW-SORAUF SYNDROME__30b2ec54,3
"SHORT STATURE, MICROCEPHALY, AND ENDOCRINE DYSFUNCTION; SSMED__754f8204",3
"SHORT STATURE, OLIGODONTIA, DYSMORPHIC FACIES, AND MOTOR DELAY; SOFM__8692a2b6",3
"SPASTIC PARAPLEGIA 47, AUTOSOMAL RECESSIVE; SPG47__4fc297cf",3
"SPONDYLOEPIMETAPHYSEAL DYSPLASIA, SPONASTRIME TYPE; SEMDSP__7d8f0bec",3
SWEENEY-COX SYNDROME; SWCOS__a88874bf,3
TRPM3__e917fe2e,3
VELOCARDIOFACIAL SYNDROME; VCFS__ef485e45,3
"Muscular dystrophy-dystroglycanopathy, type A__ee5ba88d",3
ZSCAN10__7d9fb978,3
NANCE-HORAN SYNDROME; NHS__fbc32100,3
"SKELETAL DYSPLASIA, MILD, WITH JOINT LAXITY AND ADVANCED BONE AGE; SDJLABA__51c5e5f4",3
Mandibuloacral dysplasia with lipodystrophy__0a88630f,3
"Cardiomyopathy, familial hypertrophic__8cd12214",3
"MULTIPLE PTERYGIUM SYNDROME, ESCOBAR VARIANT; EVMPS__f7e24667",3
"ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE; AFDCIN__df3a03b4",3
ACTL6A__eb14bc3f,3
ALAZAMI-YUAN SYNDROME; ALYUS__d89cc1a3,3
Arthrogryposis multiplex congenita__57fe8c74,3
Auriculocondylar syndrome__39d99ece,3
CATEL-MANZKE SYNDROME; CATMANS__ec87f445,3
CK SYNDROME; CKS__8063b5b6,3
COCKAYNE SYNDROME B; CSB__008c9d49,3
"CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT SYNDROME WITH OR WITHOUT HEARING LOSS, ABNORMAL EARS, OR DEVELOPMENTAL __2a467a80",3
"CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND ROBIN SEQUENCE__cc3a1bc4",3
CULLER-JONES SYNDROME; CJS__14633d92,3
CURRARINO SYNDROME__418ce1ec,3
"CHROMOSOME 1p36 DELETION SYNDROME, DISTAL__33a670a2",3
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 84; DEE84__92ab7337,3
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 13; MRT13__9b31f52c",3
MICROCEPHALY-CAPILLARY MALFORMATION SYNDROME; MICCAP__f822b08f,3
"Epilepsy, progressive myoclonic__8ea1d5e1",3
MAPKAPK5__1eee1f1b,3
Lissencephaly__08b4a0fa,3
KEPPEN-LUBINSKY SYNDROME; KPLBS__f365484d,3
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 65; MRT65__c33516d2",3
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, LUJAN-FRYNS TYPE; MRXSLF__7eaf3509",3
INTELLECTUAL DEVELOPMENTAL DISORDER WITH BEHAVIORAL ABNORMALITIES AND CRANIOFACIAL DYSMORPHISM WITH OR WITHOUT SEIZURES;__c67a79d4,3
H4C9__2d342103,3
Growth hormone insensitivity syndrome with immune dysregulation__68695b44,3
FILIPPI SYNDROME; FLPIS__c9be4a0f,3
FAM20B__3298e12f,3
"OTOPALATODIGITAL SYNDROME, TYPE II; OPD2__25082ad3",2
"MICROCEPHALY, GROWTH DEFICIENCY, SEIZURES, AND BRAIN MALFORMATIONS; MIGSB__32d12b6f",2
Neu-Laxova syndrome__0041c801,2
"NEURODEVELOPMENTAL DISORDER WITH ATAXIC GAIT, ABSENT SPEECH, AND DECREASED CORTICAL WHITE MATTER; NDAGSCW__775b4c54",2
"NABAIS SA-DE VRIES SYNDROME, TYPE 1; NSDVS1__b94f159f",2
Myotonic dystrophy__a4837143,2
Methylmalonic aciduria and homocystinuria__9330e6fb,2
JARID2__2453534d,2
"MACROCEPHALY, DYSMORPHIC FACIES, AND PSYCHOMOTOR RETARDATION; MDFPMR__4e186a0f",2
LARON SYNDROME__702a7f94,2
LAMB4__1f309599,2
LACRIMOAURICULODENTODIGITAL SYNDROME; LADD__864b134f,2
Kenny-Caffey syndrome__6452232a,2
JAWAD SYNDROME; JWDS__bcffec93,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, CHRISTIANSON TYPE; MRXSCH__7bb9da0c",2
Otofaciocervical syndrome__42db2f9a,2
Omodysplasia__5a90ab3d,2
Spondylometaphyseal dysplasia__0474ec8e,2
PAGANINI-MIOZZO SYNDROME; MRXSPM__22ba51ae,2
PITT-HOPKINS-LIKE SYNDROME 1; PTHSL1__46de4f8b,2
Warburg micro syndrome__9c505f69,2
WARSAW BREAKAGE SYNDROME; WABS__7918ac00,2
Usher syndrome__d8bd0e2a,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 7; MRT7__39924a69",2
Spondyloepimetaphyseal dysplasia with joint laxity__a8ecd4be,2
Spastic paraplegia__33f82337,2
SPINOCEREBELLAR ATAXIA 26; SCA26__5d7a2127,2
"SPASTIC PARAPLEGIA, INTELLECTUAL DISABILITY, NYSTAGMUS, AND OBESITY; SINO__9d7c4bc3",2
SIN3B__fe787741,2
SHUKLA-VERNON SYNDROME; SHUVER__6bffd3e6,2
SHORT STATURE WITH MICROCEPHALY AND DISTINCTIVE FACIES; SSMCF__520ab551,2
"SEIZURES, SCOLIOSIS, AND MACROCEPHALY_MICROCEPHALY SYNDROME; SSMS__d33ffac8",2
"SCHWARTZ-JAMPEL SYNDROME, TYPE 1; SJS1__a1de0dc4",2
SALT AND PEPPER DEVELOPMENTAL REGRESSION SYNDROME; SPDRS__d61199f9,2
"PREMATURE AGING SYNDROME, PENTTINEN TYPE; PENTT__13a60488",2
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 98; XLID98__fb2b6b21",2
"FACIAL DYSMORPHISM, IMMUNODEFICIENCY, LIVEDO, AND SHORT STATURE; FILS__d72fd173",2
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 5; MRT5__20bd5ad4",2
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 58; MRT58__bf23e96f",2
DDX23__2f96bd74,2
Craniometaphyseal dysplasia__c3b744f5,2
Cerebral creatine deficiency syndrome__1c5c44f4,2
"Central hypoventilation syndrome, congenital__7067945c",2
CONGENITAL HEART DEFECTS AND ECTODERMAL DYSPLASIA; CHDED__8d6102fc,2
CHROMOSOME 18q DELETION SYNDROME__b16f4535,2
CEREBELLAR DYSFUNCTION WITH VARIABLE COGNITIVE AND BEHAVIORAL ABNORMALITIES; CECBA__d98af59c,2
BASAL CELL NEVUS SYNDROME; BCNS__586ba947,2
BAKER-GORDON SYNDROME; BAGOS__e9d5cfae,2
"Arthrogryposis, renal dysfunction, and cholestasis__c609e7a9",2
Acromesomelic dysplasia__e6b8b46f,2
Acrodysostosis__49084ba7,2
ATP9A__9b1d8b86,2
ANTLEY-BIXLER SYNDROME WITH GENITAL ANOMALIES AND DISORDERED STEROIDOGENESIS; ABS1__8dd54a3a,2
"ALACRIMA, ACHALASIA, AND MENTAL RETARDATION SYNDROME; AAMR__6384cf75",2
"DEAFNESS, DYSTONIA, AND CEREBRAL HYPOMYELINATION; DDCH__54824d45",2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 13; DEE13__c586aa7a,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 18; DEE18__061e4bd8,2
GLYCINE ENCEPHALOPATHY WITH NORMAL SERUM GLYCINE__f94484f0,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 39; MRT39__317e738d",2
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH NASAL SPEECH, DYSMORPHIC FACIES, AND VARIABLE SKELETAL ANOMALIES; IDNADFS__ba7a9877",2
INSULIN-LIKE GROWTH FACTOR I DEFICIENCY__673052bc,2
Hypoplastic left heart syndrome__4a0adc65,2
HAREL-YOON SYNDROME; HAYOS__737800c9,2
Griscelli syndrome__eebe07fb,2
GABRIELE-DE VRIES SYNDROME; GADEVS__a91f692b,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 54; DEE54__72f20d8d,2
Fanconi anemia__82309df0,2
FRIAS SYNDROME__685cd448,2
FOXA2__a84d40d9,2
"FACIAL DYSMORPHISM, LENS DISLOCATION, ANTERIOR SEGMENT ABNORMALITIES, AND SPONTANEOUS FILTERING BLEBS; FDLAB__eda27202",2
EMANUEL SYNDROME__5bc03619,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 65; DEE65__d1067454,2
BARTSOCAS-PAPAS SYNDROME 1; BPS1__712537d8,1
