disease,European,Asian,African,Other
KAUFMAN OCULOCEREBROFACIAL SYNDROME; KOS__f879521f,12,3,1,9
KBG SYNDROME; KBGS__4b10cf71,155,7,1,7
KCTD3__d390a103,0,5,0,0
KDM2B__f01c6c4c,6,3,0,2
KEIPERT SYNDROME; KPTS__ec74a8be,6,0,0,0
KEPPEN-LUBINSKY SYNDROME; KPLBS__f365484d,1,1,0,1
KOOLEN-DE VRIES SYNDROME; KDVS__3fd32be5,50,4,1,0
KOSAKI OVERGROWTH SYNDROME; KOGS__80e8a0e3,7,0,0,0
Kabuki syndrome__fa463433,118,55,5,7
Kenny-Caffey syndrome__6452232a,2,0,0,0
Kleefstra syndrome__6635f40a,54,0,0,0
Klippel-Feil syndrome__c7bb7b7c,1,4,0,1
LACRIMOAURICULODENTODIGITAL SYNDROME; LADD__864b134f,1,0,0,0
LAMB-SHAFFER SYNDROME; LAMSHF__40c227d3,2,1,0,0
LAMB4__1f309599,0,0,2,0
LARON SYNDROME__702a7f94,0,0,0,2
LARSEN SYNDROME; LRS__daa54e4f,9,12,1,2
LATERAL MENINGOCELE SYNDROME; LMNS__d1805985,7,1,0,0
LENZ-MAJEWSKI HYPEROSTOTIC DWARFISM; LMHD__2fccf75d,8,0,0,0
LEOPARD syndrome__e157501a,2,3,0,1
LI-CAMPEAU SYNDROME; LICAS__4d180bb7,2,1,2,0
LIG4 SYNDROME__12dd80e6,13,3,1,2
LUSCAN-LUMISH SYNDROME; LLS__6e719817,19,0,0,0
"Leukodystrophy, hypomyelinating__3e3948ce",0,5,12,1
Linear skin defects with multiple congenital anomalies__46e88bd2,9,0,0,0
Lissencephaly__08b4a0fa,3,0,0,0
Long QT syndrome__72e8008b,5,2,0,0
"MACROCEPHALY, ACQUIRED, WITH IMPAIRED INTELLECTUAL DEVELOPMENT; MACID__5db04503",13,0,0,0
"MACROCEPHALY, DYSMORPHIC FACIES, AND PSYCHOMOTOR RETARDATION; MDFPMR__4e186a0f",0,2,0,0
MACROCEPHALY_AUTISM SYNDROME__d6794a84,1,6,0,0
MACS SYNDROME__beebe5bf,5,3,0,0
MANDIBULOFACIAL DYSOSTOSIS WITH ALOPECIA; MFDA__baca7ed3,5,0,0,0
"MANDIBULOFACIAL DYSOSTOSIS, GUION-ALMEIDA TYPE; MFDGA__e6c924d6",13,0,0,0
"MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA__fd9c20a9",16,11,1,2
MAPKAPK5__1eee1f1b,0,1,2,0
MARBACH-RUSTAD PROGEROID SYNDROME; MARUPS__0ece02ad,4,0,0,0
MARFAN SYNDROME; MFS__f14dc6ac,1,1,2,0
MARFANOID-PROGEROID-LIPODYSTROPHY SYNDROME; MFLS__e82eee1d,10,0,0,0
MARSHALL-SMITH SYNDROME; MRSHSS__3d8024b0,24,1,1,1
MCCUNE-ALBRIGHT SYNDROME; MAS__473d9355,1,1,0,0
MEGALENCEPHALY-CAPILLARY MALFORMATION-POLYMICROGYRIA SYNDROME; MCAP__b25f16a6,2,0,0,0
MELNICK-NEEDLES SYNDROME; MNS__a4b6f2bd,0,0,0,1
MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND WITH OR WITHOUT AUTISTIC FEATURES__6ecd2ec1,4,0,0,0
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 48; MRD48__64967c96",3,0,1,2
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 51; MRD51__5691bf95",4,0,0,0
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 54; MRD54__b075f83b",14,0,0,0
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 57; MRD57__ca726d42",36,1,0,0
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 58; MRD58__a2a4b3aa",7,0,0,0
"MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE I; MOPD1__750138dc",3,0,1,0
"MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II; MOPD2__77f2cd03",0,1,8,0
"MICROCEPHALY WITH OR WITHOUT CHORIORETINOPATHY, LYMPHEDEMA, OR MENTAL RETARDATION; MCLMR__5be44a5b",7,1,0,1
"MICROCEPHALY, GROWTH DEFICIENCY, SEIZURES, AND BRAIN MALFORMATIONS; MIGSB__32d12b6f",0,0,2,0
MICROCEPHALY-CAPILLARY MALFORMATION SYNDROME; MICCAP__f822b08f,0,3,0,0
MOEBIUS SYNDROME; MBS__78b15e27,5,0,0,9
MOWAT-WILSON SYNDROME; MOWS__1bc115aa,52,1,2,9
MUCOLIPIDOSIS II ALPHA_BETA__08661f5b,23,12,1,4
MUENKE SYNDROME; MNKES__051ddad5,4,0,0,0
"MULTIPLE CONGENITAL ANOMALIES-NEURODEVELOPMENTAL SYNDROME, X-LINKED; MCAND__52ec68b1",0,6,0,0
"MULTIPLE PTERYGIUM SYNDROME, ESCOBAR VARIANT; EVMPS__f7e24667",1,0,2,0
"MYASTHENIC SYNDROME, CONGENITAL, 19; CMS19__5f2506e0",4,0,0,0
"MYASTHENIC SYNDROME, CONGENITAL, 22; CMS22__c3e888d0",4,0,0,0
MYHRE SYNDROME; MYHRS__9c537410,23,12,1,1
"MYOPATHY, CONGENITAL, BAILEY-BLOCH; MYPBB__d8939ac9",0,3,0,4
Mandibuloacral dysplasia with lipodystrophy__0a88630f,0,0,3,0
Meier-Gorlin syndrome__5fc08b77,13,9,0,3
Menke-Hennekam syndrome__2b0b5cd9,44,6,1,0
Methylmalonic aciduria and homocystinuria__9330e6fb,0,1,0,0
"Microcephaly, epilepsy, and diabetes syndrome__8e218601",0,0,4,0
"Microcephaly, growth restriction and increased sister chromatid exchange__4044d9f8",4,4,0,0
"Microcephaly, primary__00922ad1",2,8,0,1
"Microphthalmia, syndromic__040ece8c",10,3,0,0
Mitochondrial DNA depletion syndrome__476fb708,3,0,0,1
"Mitochondrial complex V (ATP synthase) deficiency, nuclear type__d364ac08",1,0,0,5
Mucopolysaccharidoses__dad2c2d0,42,29,7,9
Multiple congenital anomalies-hypotonia-seizures syndrome__8d671c88,14,11,4,2
"Muscular dystrophy-dystroglycanopathy, type A__ee5ba88d",0,0,2,1
"Myopathy, centronuclear__ef188f60",4,1,0,0
Myotonic dystrophy__a4837143,2,0,0,0
"NABAIS SA-DE VRIES SYNDROME, TYPE 1; NSDVS1__b94f159f",2,0,0,0
"NABAIS SA-DE VRIES SYNDROME, TYPE 2; NSDVS2__a61c568e",4,0,0,0
NABLUS MASK-LIKE FACIAL SYNDROME; NMLFS__f5885ad5,7,1,0,0
NANCE-HORAN SYNDROME; NHS__fbc32100,0,1,0,2
NEURODEVELOPMENTAL DISORDER AND LANGUAGE DELAY WITH OR WITHOUT STRUCTURAL BRAIN ABNORMALITIES; NEDLBA__62ca776f,4,2,1,0
NEURODEVELOPMENTAL DISORDER AND STRUCTURAL BRAIN ANOMALIES WITH OR WITHOUT SEIZURES AND SPASTICITY; NEDBASS__23c4a335,2,0,0,2
"NEURODEVELOPMENTAL DISORDER WITH ATAXIC GAIT, ABSENT SPEECH, AND DECREASED CORTICAL WHITE MATTER; NDAGSCW__775b4c54",2,0,0,0
"NEURODEVELOPMENTAL DISORDER WITH CATARACTS, POOR GROWTH, AND DYSMORPHIC FACIES; NDCAGF__b521eab1",0,3,0,0
NEURODEVELOPMENTAL DISORDER WITH CENTRAL AND PERIPHERAL MOTOR DYSFUNCTION; NEDCPMD__6cc55f46,2,0,1,0
NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND DISTAL LIMB ANOMALIES; NEDDFL__48f67376,14,0,0,2
NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND DISTAL SKELETAL ANOMALIES; NEDDFSA__5e1d7546,12,0,0,8
"NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, SLEEP DISTURBANCE, AND BRAIN ABNORMALITIES; NEDFASB__4120092f",3,0,1,0
"NEURODEVELOPMENTAL DISORDER WITH EPILEPSY, CATARACTS, FEEDING DIFFICULTIES, AND DELAYED BRAIN MYELINATION; NECFM__cacdd291",3,1,0,2
"NEURODEVELOPMENTAL DISORDER WITH EPILEPSY, SPASTICITY, AND BRAIN ATROPHY; NEDESBA__7d1698cc",2,2,0,2
"NEURODEVELOPMENTAL DISORDER WITH HEARING LOSS, SEIZURES, AND BRAIN ABNORMALITIES; NEDHSB__05ebc2f0",5,9,0,0
NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND AUTISTIC FEATURES WITH OR WITHOUT HYPERKINETIC MOVEMENTS; NEDHAHM__a9ed43f1,5,0,0,0
"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND CEREBELLAR ATROPHY, WITH OR WITHOUT SEIZURES; NEDHCAS__6d1cb7e7",2,0,1,0
NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND DYSMORPHIC FACIES; NEDHYDF__08d35e43,2,2,0,0
NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND VARIABLE INTELLECTUAL AND BEHAVIORAL ABNORMALITIES; NEDHIB__1887682d,15,1,1,0
"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, FACIAL DYSMORPHISM, AND BRAIN ABNORMALITIES; NEDHFBA__51753bfe",0,5,0,0
"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, MICROCEPHALY, AND SEIZURES; NEDHYMS__e1bfb9ed",3,0,0,0
"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, NEONATAL RESPIRATORY INSUFFICIENCY, AND THERMODYSREGULATION; NEDHRIT__1cd8909a",2,2,0,0
"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, STEREOTYPIC HAND MOVEMENTS, AND IMPAIRED LANGUAGE; NEDHSIL__f8805041",3,0,0,0
"NEURODEVELOPMENTAL DISORDER WITH IMPAIRED INTELLECTUAL DEVELOPMENT, HYPOTONIA, AND ATAXIA; NEDIDHA__7f194027",3,0,0,0
NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY AND STRUCTURAL BRAIN ANOMALIES; NEDMIBA__d6ac6893,0,3,0,0
"NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, ARTHROGRYPOSIS, AND STRUCTURAL BRAIN ANOMALIES; NEDMABA__384c3e13",2,0,2,1
"NEURODEVELOPMENTAL DISORDER WITH NEONATAL RESPIRATORY INSUFFICIENCY, HYPOTONIA, AND FEEDING DIFFICULTIES; NEDRIHF__93d45d69",27,1,0,0
NEURODEVELOPMENTAL DISORDER WITH NONSPECIFIC BRAIN ABNORMALITIES AND WITH OR WITHOUT SEIZURES; NEDBAS__f4d141f9,3,0,0,0
"NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT ANOMALIES OF THE BRAIN, EYE, OR HEART; NEDBEH__462fbfbe",3,0,0,1
NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT AUTISTIC FEATURES AND_OR STRUCTURAL BRAIN ABNORMALITIES; NEDASB__5eb18dd7,3,0,0,0
NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT EARLY-ONSET GENERALIZED EPILEPSY; NEDEGE__d73bd326,3,0,0,0
"NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT HYPOTONIA, SEIZURES, AND CEREBELLAR ATROPHY; NEDHSCA__f1d85e9a",1,1,0,0
NEURODEVELOPMENTAL DISORDER WITH SEIZURES AND SPEECH AND WALKING IMPAIRMENT; NEDSSWI__b78ddcce,3,0,0,0
NEURODEVELOPMENTAL DISORDER WITH SEVERE MOTOR IMPAIRMENT AND ABSENT LANGUAGE; NEDMIAL__163528b1,1,1,0,2
NEURODEVELOPMENTAL DISORDER WITH SPASTIC DIPLEGIA AND VISUAL DEFECTS; NEDSDV__ef12cf11,16,4,0,0
NEURODEVELOPMENTAL DISORDER WITH STRUCTURAL BRAIN ANOMALIES AND DYSMORPHIC FACIES; NEDBAF__5267c6eb,1,0,0,3
"NEURODEVELOPMENTAL, JAW, EYE, AND DIGITAL SYNDROME; NEDJED__6279375d",4,0,0,0
"NEUROFIBROMATOSIS, TYPE I; NF1__f75bf71f",2,0,9,0
NEUROOCULOCARDIOGENITOURINARY SYNDROME; NOCGUS__4ca82618,6,0,0,0
NICOLAIDES-BARAITSER SYNDROME; NCBRS__78ac980b,70,3,5,4
NIJMEGEN BREAKAGE SYNDROME; NBS__9c43478a,21,3,1,0
NIZON-ISIDOR SYNDROME; NIZIDS__d32ad35d,3,0,0,0
Neu-Laxova syndrome__0041c801,0,1,1,0
Noonan syndrome-like disorder with loose anagen hair__13a2213d,4,3,2,1
Noonan syndrome__c2df3f82,77,39,23,14
O'DONNELL-LURIA-RODAN SYNDROME; ODLURO__73fe3256,10,0,0,0
OCULODENTODIGITAL DYSPLASIA; ODDD__b6c748b5,15,7,0,5
OCULOSKELETODENTAL SYNDROME; OCSKD__6bbe87b5,0,2,1,0
OGDEN SYNDROME; OGDNS__32400320,224,19,0,42
"OHDO SYNDROME, SBBYS VARIANT; SBBYSS__0420737d",49,3,0,0
"OHDO SYNDROME, X-LINKED; OHDOX__e6da3690",5,0,0,0
OKUR-CHUNG NEURODEVELOPMENTAL SYNDROME; OCNDS__24883506,19,8,3,0
OPITZ-KAVEGGIA SYNDROME; OKS__1a308d58,1,1,0,0
"OTITIS MEDIA, SUSCEPTIBILITY TO; OMS__08bea86e",8,0,0,0
"OTOPALATODIGITAL SYNDROME, TYPE I; OPD1__bf48aeee",0,5,0,0
"OTOPALATODIGITAL SYNDROME, TYPE II; OPD2__25082ad3",0,0,0,1
Oculocutaneous albinism__94a78bdc,2,20,2,0
Omodysplasia__5a90ab3d,0,1,0,0
Opitz GBBB syndrome__534c3422,11,1,5,0
Orofaciodigital syndrome__59aa02a5,12,13,5,0
Osteogenesis imperfecta__0821762f,9,1,23,1
"Osteopetrosis, autosomal recessive__f65ee20e",0,0,1,3
Otofaciocervical syndrome__42db2f9a,0,2,0,0
"PACHYGYRIA, MICROCEPHALY, DEVELOPMENTAL DELAY, AND DYSMORPHIC FACIES, WITH OR WITHOUT SEIZURES; PAMDDFS__dfd919a5",1,3,0,0
PAGANINI-MIOZZO SYNDROME; MRXSPM__22ba51ae,2,0,0,0
PETERS-PLUS SYNDROME; PTRPLS__55215399,6,0,0,2
PETTIGREW SYNDROME; PGS__544c4a5f,3,0,0,0
PFEIFFER SYNDROME__0d67235b,5,9,1,1
PGM2L1__92be65c6,0,2,0,2
PHELAN-MCDERMID SYNDROME; PHMDS__56c03ccc,6,4,1,0
PIERPONT SYNDROME; PRPTS__59c08023,14,0,0,0
"PINEAL HYPERPLASIA, INSULIN-RESISTANT DIABETES MELLITUS, AND SOMATIC ABNORMALITIES__4f470373",1,0,2,0
PITT-HOPKINS SYNDROME; PTHS__d527d01d,47,4,1,3
PITT-HOPKINS-LIKE SYNDROME 1; PTHSL1__46de4f8b,2,0,0,0
PLXND1__648a4358,5,0,0,0
POIKILODERMA WITH NEUTROPENIA; PN__c6b79fcf,5,10,1,1
"POIKILODERMA, HEREDITARY FIBROSING, WITH TENDON CONTRACTURES, MYOPATHY, AND PULMONARY FIBROSIS; POIKTMP__6d23a22f",4,2,1,0
POIRIER-BIENVENU NEURODEVELOPMENTAL SYNDROME; POBINDS__26bb18cc,6,0,0,1
PPFIA3__7543902b,1,0,1,0
PRADER-WILLI SYNDROME; PWS__38702d4d,56,1,1,0
"PREMATURE AGING SYNDROME, PENTTINEN TYPE; PENTT__13a60488",1,1,0,0
PRIMROSE SYNDROME; PRIMS__93a5aedc,36,4,1,2
PROLIDASE DEFICIENCY__8d8e6ccb,0,7,0,0
PROTEUS SYNDROME__63e99fb4,7,0,0,0
PSMC5__499deb40,5,0,0,0
Pontocerebellar hypoplasia__3965ecc3,7,11,0,0
RADIO-TARTAGLIA SYNDROME; RATARS__43a2d10f,2,1,0,0
RAFIQ SYNDROME; RAFQS__70008cea,7,0,0,0
RAHMAN SYNDROME; RMNS__8f57e066,26,6,1,0
RAUCH-STEINDL SYNDROME; RAUST__26c31f00,9,0,0,0
RENPENNING SYNDROME 1; RENS1__2310d1fa,29,1,0,0
RETT SYNDROME; RTT__796e1ab7,16,2,0,0
REV3L__9cd868d0,6,0,0,0
RIDDLE SYNDROME; RIDL__592ca236,4,0,0,0
ROBIN SEQUENCE WITH CLEFT MANDIBLE AND LIMB ANOMALIES__7c86f619,2,0,0,7
ROBINOW-SORAUF SYNDROME__30b2ec54,2,1,0,0
Robinow syndrome__3fa0c0ae,34,8,1,0
Rothmund-Thomson syndrome__ae78139b,14,6,0,0
Rubinstein-Taybi syndrome__ad6c2718,60,26,14,11
SAETHRE-CHOTZEN SYNDROME; SCS__287d8e35,22,17,0,5
SALT AND PEPPER DEVELOPMENTAL REGRESSION SYNDROME; SPDRS__d61199f9,0,0,2,0
SANDESTIG-STEFANOVA SYNDROME; SANDSTEF__90de5492,2,2,0,3
SAUL-WILSON SYNDROME; SWILS__59b9d9d3,13,0,0,3
SCAF4__368b9191,4,1,0,0
SCHAAF-YANG SYNDROME; SHFYNG__ec4c0f98,136,2,1,1
SCHINZEL-GIEDION MIDFACE RETRACTION SYNDROME__ccd82c43,10,1,0,2
SCHUURS-HOEIJMAKERS SYNDROME; SHMS__b6fc8f8b,15,6,0,0
"SCHWARTZ-JAMPEL SYNDROME, TYPE 1; SJS1__a1de0dc4",0,0,1,0
"SEIZURES, SCOLIOSIS, AND MACROCEPHALY_MICROCEPHALY SYNDROME; SSMS__d33ffac8",1,0,0,0
SHASHI-PENA SYNDROME; SHAPNS__653d2a99,12,0,2,1
SHORT STATURE WITH MICROCEPHALY AND DISTINCTIVE FACIES; SSMCF__520ab551,0,1,0,0
"SHORT STATURE, BRACHYDACTYLY, IMPAIRED INTELLECTUAL DEVELOPMENT, AND SEIZURES; SBIDDS__9c15138e",0,3,3,1
"SHORT STATURE, IMPAIRED INTELLECTUAL DEVELOPMENT, MICROCEPHALY, HYPOTONIA, AND OCULAR ANOMALIES; SIMHA__16778791",0,5,0,0
"SHORT STATURE, MICROCEPHALY, AND ENDOCRINE DYSFUNCTION; SSMED__754f8204",3,0,0,0
"SHORT STATURE, OLIGODONTIA, DYSMORPHIC FACIES, AND MOTOR DELAY; SOFM__8692a2b6",3,0,0,0
"SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS; SOFT__71dae9cd",9,3,0,1
"SHORT STATURE, RHIZOMELIC, WITH MICROCEPHALY, MICROGNATHIA, AND DEVELOPMENTAL DELAY; SRMMD__d8cdde37",2,2,0,0
SHORT SYNDROME__ae39926d,10,2,0,0
SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYNDROME; SGS__24611c2f,5,0,0,0
SHUKLA-VERNON SYNDROME; SHUVER__6bffd3e6,0,2,0,0
SIFRIM-HITZ-WEISS SYNDROME; SIHIWES__6142fea6,6,0,0,0
"SIMPSON-GOLABI-BEHMEL SYNDROME, TYPE 1; SGBS1__95724a7b",12,6,1,0
SIN3B__fe787741,1,0,0,1
SIX2__e58517dc,6,0,0,0
"SKELETAL DYSPLASIA, MILD, WITH JOINT LAXITY AND ADVANCED BONE AGE; SDJLABA__51c5e5f4",3,0,0,0
SKRABAN-DEARDORFF SYNDROME; SKDEAS__ec19b863,19,0,0,0
SMITH-KINGSMORE SYNDROME; SKS__26669e54,9,0,2,0
SMITH-LEMLI-OPITZ SYNDROME; SLOS__a7cc6ffd,45,6,2,2
SMITH-MAGENIS SYNDROME; SMS__211f4178,79,11,0,7
SNIJDERS BLOK-CAMPEAU SYNDROME; SNIBCPS__6ce67b1f,12,0,0,0
SOTOS SYNDROME; SOTOS__bf015147,79,21,12,2
"SPASTIC PARAPLEGIA 47, AUTOSOMAL RECESSIVE; SPG47__4fc297cf",0,2,0,1
"SPASTIC PARAPLEGIA 50, AUTOSOMAL RECESSIVE; SPG50__f879b2ca",1,4,0,0
SPINOCEREBELLAR ATAXIA 26; SCA26__5d7a2127,2,0,0,0
"SPINOCEREBELLAR ATAXIA 42, EARLY-ONSET, SEVERE, WITH NEURODEVELOPMENTAL DEFICITS; SCA42ND__672012d2",6,0,0,0
"SPONDYLOEPIMETAPHYSEAL DYSPLASIA, ISIDOR-TOUTAIN TYPE; SEMDIST__37283aa2",3,0,2,0
SPONDYLOEPIPHYSEAL DYSPLASIA CONGENITA; SEDC__5ef56226,0,0,6,0
STANKIEWICZ-ISIDOR SYNDROME; STISS__496fc6fe,7,0,0,1
STEEL SYNDROME; STLS__f4e3c1f7,2,2,0,0
STRUCTURAL BRAIN ANOMALIES WITH IMPAIRED INTELLECTUAL DEVELOPMENT AND CRANIOSYNOSTOSIS; BAIDCS__9bb1be86,5,0,0,1
SULEIMAN-EL-HATTAB SYNDROME; SULEHS__c812c083,0,3,1,0
SWEENEY-COX SYNDROME; SWCOS__a88874bf,3,0,0,0
Seckel syndrome__470d9540,6,18,1,0
"Short stature, facial dysmorphism, and skeletal anomalies with or without cardiac anomalies__7fc1a263",7,1,0,0
Silver-Russell syndrome__7aea26cd,6,1,1,4
"Skin creases, congenital symmetric circumferential__06a4c7e2",7,2,0,0
Spastic paraplegia__33f82337,1,1,0,0
"Spinocerebellar ataxia, autosomal recessive__31110058",1,3,3,0
Spondyloepimetaphyseal dysplasia with joint laxity__a8ecd4be,0,0,0,1
Spondylometaphyseal dysplasia__0474ec8e,0,0,2,0
Stickler syndrome__b5106665,7,6,11,0
TAF4__e136707b,6,0,0,0
TAKENOUCHI-KOSAKI SYNDROME; TKS__2c308aac,16,3,6,0
TATTON-BROWN-RAHMAN SYNDROME; TBRS__2b9aac0d,34,5,0,0
TCEAL1__9a47ca54,5,0,1,2
TOLCHIN-LE CAIGNEC SYNDROME; TOLCAS__5f2e7f8a,7,0,0,0
TONNE-KALSCHEUER SYNDROME; TOKAS__8bd5b15e,6,0,0,0
TRICHOHEPATONEURODEVELOPMENTAL SYNDROME; THNS__ca2e27f5,3,1,0,1
TURNPENNY-FRY SYNDROME; TPFS__78f557d7,11,1,0,0
Teebi hypertelorism syndrome__2ef765f6,17,1,0,0
Three M syndrome__7b34cefc,3,3,0,7
Treacher Collins syndrome__0338c5ad,35,23,4,1
Trichohepatoenteric syndrome__355e14a3,0,10,2,2
Trichorhinophalangeal syndrome__c65055aa,19,24,0,0
Trichothiodystrophy__ad7c58c6,3,1,0,0
Tuberous sclerosis__e3cfa39d,3,1,3,0
Urofacial syndrome__ab191038,0,4,0,0
Usher syndrome__d8bd0e2a,1,0,0,0
VAN DEN ENDE-GUPTA SYNDROME; VDEGS__f9b5ccdc,2,0,2,0
VAN DER WOUDE SYNDROME 1; VWS1__93efcd11,3,2,0,0
VELOCARDIOFACIAL SYNDROME; VCFS__ef485e45,0,2,0,0
VERHEIJ SYNDROME; VRJS__bce524fa,21,1,0,0
VICI SYNDROME; VICIS__c7d0327b,4,4,0,3
Van Maldergem syndrome__306683cb,0,0,6,0
WARSAW BREAKAGE SYNDROME; WABS__7918ac00,2,0,0,0
WEAVER SYNDROME; WVS__7c74ac9e,43,3,0,5
WEISS-KRUSZKA SYNDROME; WSKA__295192ca,10,0,0,0
WHITE-SUTTON SYNDROME; WHSUS__4d3fc142,17,8,3,0
WIEDEMANN-STEINER SYNDROME; WDSTS__12a717b2,74,41,4,5
WILLIAMS-BEUREN SYNDROME; WBS__93e4a782,85,86,37,63
WITTEVEEN-KOLK SYNDROME; WITKOS__5fc3555f,34,1,0,0
WOLF-HIRSCHHORN SYNDROME; WHS__f94cc3ea,3,9,2,0
WRINKLY SKIN SYNDROME; WSS__572dbc73,0,3,0,0
Waardenburg syndrome__9ce6c173,10,9,3,1
Warburg micro syndrome__9c505f69,2,0,0,0
XIA-GIBBS SYNDROME; XIGIS__a0a692fc,9,1,0,1
YOU-HOOVER-FONG SYNDROME; YHFS__73480d8a,8,0,0,0
YWHAZ__b7724749,5,0,0,0
ZSCAN10__7d9fb978,1,0,0,0
ZTTK SYNDROME; ZTTKS__f1c57fa5,27,7,0,1
Zimmermann-Laband syndrome__4e6cd104,12,0,0,1
