facekit_cohort,syndrome_name,syndrome_id,internal_syndrome_name,internal_syndrome_id
"ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1__cff6e3a6","ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1",127,"ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1",127
CEREBROCOSTOMANDIBULAR SYNDROME; CCMS__0487686f,CEREBROCOSTOMANDIBULAR SYNDROME; CCMS,225,CEREBROCOSTOMANDIBULAR SYNDROME; CCMS,225
ZTTK SYNDROME; ZTTKS__f1c57fa5,ZTTK SYNDROME; ZTTKS,53,ZTTK SYNDROME; ZTTKS,53
Menke-Hennekam syndrome__2b0b5cd9,Menke-Hennekam syndrome,73,Menke-Hennekam syndrome,73
CYSTIC FIBROSIS; CF__7fff2877,CYSTIC FIBROSIS; CF,541,CYSTIC FIBROSIS; CF,541
Zimmermann-Laband syndrome__4e6cd104,Zimmermann-Laband syndrome,220,Zimmermann-Laband syndrome,220
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, BILLUART TYPE; MRXSBL__7fc6a7bd","INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, BILLUART TYPE; MRXSBL",243,"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, BILLUART TYPE; MRXSBL",243
DIETS-JONGMANS SYNDROME; DIJOS__a124415c,DIETS-JONGMANS SYNDROME; DIJOS,224,DIETS-JONGMANS SYNDROME; DIJOS,224
Orofaciodigital syndrome__59aa02a5,Orofaciodigital syndrome,82,Orofaciodigital syndrome,82
"INTRAUTERINE GROWTH RETARDATION, METAPHYSEAL DYSPLASIA, ADRENAL HYPOPLASIA CONGENITA, GENITAL ANOMALIES, AND IMMUNODEFIC__7efffc8e","INTRAUTERINE GROWTH RETARDATION, METAPHYSEAL DYSPLASIA, ADRENAL HYPOPLASIA CONGENITA, GENITAL ANOMALIES, AND IMMUNODEFICIENCY; IMAGEI",203,"INTRAUTERINE GROWTH RETARDATION, METAPHYSEAL DYSPLASIA, ADRENAL HYPOPLASIA CONGENITA, GENITAL ANOMALIES, AND IMMUNODEFICIENCY; IMAGEI",203
"ALPHA-THALASSEMIA_MENTAL RETARDATION SYNDROME, X-LINKED; ATRX__63ddb3db","ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED; ATRX",110,"ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED; ATRX",110
NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND DISTAL SKELETAL ANOMALIES; NEDDFSA__5e1d7546,NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND DISTAL SKELETAL ANOMALIES; NEDDFSA,115,NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND DISTAL SKELETAL ANOMALIES; NEDDFSA,115
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 46; MRT46__096007b3","INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 46; MRT46",309,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 46; MRT46",309
BRAIN MALFORMATIONS WITH OR WITHOUT URINARY TRACT DEFECTS; BRMUTD__dea565b9,BRAIN MALFORMATIONS WITH OR WITHOUT URINARY TRACT DEFECTS; BRMUTD,492,BRAIN MALFORMATIONS WITH OR WITHOUT URINARY TRACT DEFECTS; BRMUTD,492
PROLIDASE DEFICIENCY__8d8e6ccb,PROLIDASE DEFICIENCY,325,PROLIDASE DEFICIENCY,325
DEVELOPMENTAL DELAY WITH OR WITHOUT DYSMORPHIC FACIES AND AUTISM; DEDDFA__bf123572,DEVELOPMENTAL DELAY WITH OR WITHOUT DYSMORPHIC FACIES AND AUTISM; DEDDFA,142,DEVELOPMENTAL DELAY WITH OR WITHOUT DYSMORPHIC FACIES AND AUTISM; DEDDFA,142
NEURODEVELOPMENTAL DISORDER WITH STRUCTURAL BRAIN ANOMALIES AND DYSMORPHIC FACIES; NEDBAF__5267c6eb,NEURODEVELOPMENTAL DISORDER WITH STRUCTURAL BRAIN ANOMALIES AND DYSMORPHIC FACIES; NEDBAF,368,NEURODEVELOPMENTAL DISORDER WITH STRUCTURAL BRAIN ANOMALIES AND DYSMORPHIC FACIES; NEDBAF,368
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 80; DEE80__ff9fd11e,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 80; DEE80,252,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 80; DEE80,252
"NEURODEVELOPMENTAL DISORDER WITH ATAXIC GAIT, ABSENT SPEECH, AND DECREASED CORTICAL WHITE MATTER; NDAGSCW__775b4c54","NEURODEVELOPMENTAL DISORDER WITH ATAXIC GAIT, ABSENT SPEECH, AND DECREASED CORTICAL WHITE MATTER; NDAGSCW",571,"NEURODEVELOPMENTAL DISORDER WITH ATAXIC GAIT, ABSENT SPEECH, AND DECREASED CORTICAL WHITE MATTER; NDAGSCW",571
Rubinstein-Taybi syndrome__ad6c2718,Rubinstein-Taybi syndrome,9,Rubinstein-Taybi syndrome,9
DESANTO-SHINAWI SYNDROME; DESSH__39dfc617,DESANTO-SHINAWI SYNDROME; DESSH,141,DESANTO-SHINAWI SYNDROME; DESSH,141
PRIMROSE SYNDROME; PRIMS__93a5aedc,PRIMROSE SYNDROME; PRIMS,41,PRIMROSE SYNDROME; PRIMS,41
Van Maldergem syndrome__306683cb,Van Maldergem syndrome,511,Van Maldergem syndrome,511
Hennekam lymphangiectasia-lymphedema syndrome__97a48fb8,Hennekam lymphangiectasia-lymphedema syndrome,155,Hennekam lymphangiectasia-lymphedema syndrome,155
HELSMOORTEL-VAN DER AA SYNDROME; HVDAS__93d27023,HELSMOORTEL-VAN DER AA SYNDROME; HVDAS,17,HELSMOORTEL-VAN DER AA SYNDROME; HVDAS,17
"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, FACIAL DYSMORPHISM, AND BRAIN ABNORMALITIES; NEDHFBA__51753bfe","NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, FACIAL DYSMORPHISM, AND BRAIN ABNORMALITIES; NEDHFBA",328,"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, FACIAL DYSMORPHISM, AND BRAIN ABNORMALITIES; NEDHFBA",328
DEVELOPMENTAL DELAY WITH VARIABLE INTELLECTUAL IMPAIRMENT AND BEHAVIORAL ABNORMALITIES; DDVIBA__62f14118,DEVELOPMENTAL DELAY WITH VARIABLE INTELLECTUAL IMPAIRMENT AND BEHAVIORAL ABNORMALITIES; DDVIBA,117,DEVELOPMENTAL DELAY WITH VARIABLE INTELLECTUAL IMPAIRMENT AND BEHAVIORAL ABNORMALITIES; DDVIBA,117
"CONGENITAL HYPOTONIA, EPILEPSY, DEVELOPMENTAL DELAY, AND DIGITAL ANOMALIES; CHEDDA__6d204179","CONGENITAL HYPOTONIA, EPILEPSY, DEVELOPMENTAL DELAY, AND DIGITAL ANOMALIES; CHEDDA",261,"CONGENITAL HYPOTONIA, EPILEPSY, DEVELOPMENTAL DELAY, AND DIGITAL ANOMALIES; CHEDDA",261
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 21; MRD21__641905ad","INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 21; MRD21",90,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 21; MRD21",90
CLARK-BARAITSER SYNDROME; CLABARS__7a43248e,CLARK-BARAITSER SYNDROME; CLABARS,69,CLARK-BARAITSER SYNDROME; CLABARS,69
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH MACROCEPHALY, SEIZURES, AND SPEECH DELAY; IDDMSSD__b5c52dae","INTELLECTUAL DEVELOPMENTAL DISORDER WITH MACROCEPHALY, SEIZURES, AND SPEECH DELAY; IDDMSSD",330,"INTELLECTUAL DEVELOPMENTAL DISORDER WITH MACROCEPHALY, SEIZURES, AND SPEECH DELAY; IDDMSSD",330
"CONGENITAL CONTRACTURES OF THE LIMBS AND FACE, HYPOTONIA, AND DEVELOPMENTAL DELAY; CLIFAHDD__a79a9b22","CONGENITAL CONTRACTURES OF THE LIMBS AND FACE, HYPOTONIA, AND DEVELOPMENTAL DELAY; CLIFAHDD",387,"CONGENITAL CONTRACTURES OF THE LIMBS AND FACE, HYPOTONIA, AND DEVELOPMENTAL DELAY; CLIFAHDD",387
WIEDEMANN-STEINER SYNDROME; WDSTS__12a717b2,WIEDEMANN-STEINER SYNDROME; WDSTS,7,WIEDEMANN-STEINER SYNDROME; WDSTS,7
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 50, WITH BEHAVIORAL ABNORMALITIES; MRD50__3950766c","INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 50, WITH BEHAVIORAL ABNORMALITIES; MRD50",65,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 50, WITH BEHAVIORAL ABNORMALITIES; MRD50",65
Seckel syndrome__470d9540,Seckel syndrome,94,Seckel syndrome,94
Treacher Collins syndrome__0338c5ad,Treacher Collins syndrome,21,Treacher Collins syndrome,21
Linear skin defects with multiple congenital anomalies__46e88bd2,Linear skin defects with multiple congenital anomalies,248,Linear skin defects with multiple congenital anomalies,248
"Leukodystrophy, hypomyelinating__3e3948ce","Leukodystrophy, hypomyelinating",123,"Leukodystrophy, hypomyelinating",123
BURN-MCKEOWN SYNDROME; BMKS__94b306c7,BURN-MCKEOWN SYNDROME; BMKS,167,BURN-MCKEOWN SYNDROME; BMKS,167
MACROCEPHALY_AUTISM SYNDROME__d6794a84,MACROCEPHALY/AUTISM SYNDROME,254,MACROCEPHALY/AUTISM SYNDROME,254
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 57; MRD57__ca726d42","MENTAL RETARDATION, AUTOSOMAL DOMINANT 57; MRD57",47,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 57; MRD57",47
"PREMATURE AGING SYNDROME, PENTTINEN TYPE; PENTT__13a60488","PREMATURE AGING SYNDROME, PENTTINEN TYPE; PENTT",493,"PREMATURE AGING SYNDROME, PENTTINEN TYPE; PENTT",493
"ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE; AFDCIN__df3a03b4","ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE; AFDCIN",432,"ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE; AFDCIN",432
ARBOLEDA-THAM SYNDROME; ARTHS__a6d0bf95,ARBOLEDA-THAM SYNDROME; ARTHS,48,ARBOLEDA-THAM SYNDROME; ARTHS,48
AYME-GRIPP SYNDROME; AYGRP__bfbc8d98,AYME-GRIPP SYNDROME; AYGRP,151,AYME-GRIPP SYNDROME; AYGRP,151
MANDIBULOFACIAL DYSOSTOSIS WITH ALOPECIA; MFDA__baca7ed3,MANDIBULOFACIAL DYSOSTOSIS WITH ALOPECIA; MFDA,352,MANDIBULOFACIAL DYSOSTOSIS WITH ALOPECIA; MFDA,352
IMPAIRED INTELLECTUAL DEVELOPMENT AND DISTINCTIVE FACIAL FEATURES WITH OR WITHOUT CARDIAC DEFECTS; MRFACD__d0ea4e66,IMPAIRED INTELLECTUAL DEVELOPMENT AND DISTINCTIVE FACIAL FEATURES WITH OR WITHOUT CARDIAC DEFECTS; MRFACD,88,IMPAIRED INTELLECTUAL DEVELOPMENT AND DISTINCTIVE FACIAL FEATURES WITH OR WITHOUT CARDIAC DEFECTS; MRFACD,88
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 58; MRD58__a2a4b3aa","MENTAL RETARDATION, AUTOSOMAL DOMINANT 58; MRD58",409,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 58; MRD58",409
AL-RAQAD SYNDROME; ARS__43273be7,AL-RAQAD SYNDROME; ARS,271,AL-RAQAD SYNDROME; ARS,271
TATTON-BROWN-RAHMAN SYNDROME; TBRS__2b9aac0d,TATTON-BROWN-RAHMAN SYNDROME; TBRS,37,TATTON-BROWN-RAHMAN SYNDROME; TBRS,37
WITTEVEEN-KOLK SYNDROME; WITKOS__5fc3555f,WITTEVEEN-KOLK SYNDROME; WITKOS,109,WITTEVEEN-KOLK SYNDROME; WITKOS,109
LARSEN SYNDROME; LRS__daa54e4f,LARSEN SYNDROME; LRS,87,LARSEN SYNDROME; LRS,87
"Microcephaly, primary__00922ad1","Microcephaly, primary",147,"Microcephaly, primary",147
MARSHALL SYNDROME; MRSHS__54ced86e,MARSHALL SYNDROME; MRSHS,197,MARSHALL SYNDROME; MRSHS,197
SAETHRE-CHOTZEN SYNDROME; SCS__287d8e35,SAETHRE-CHOTZEN SYNDROME; SCS,49,SAETHRE-CHOTZEN SYNDROME; SCS,49
"OTOPALATODIGITAL SYNDROME, TYPE II; OPD2__25082ad3","OTOPALATODIGITAL SYNDROME, TYPE II; OPD2",515,"OTOPALATODIGITAL SYNDROME, TYPE II; OPD2",515
Alagille syndrome__0e695d36,Alagille syndrome,15,Alagille syndrome,15
CHARGE SYNDROME__c6048c09,CHARGE SYNDROME,29,CHARGE SYNDROME,29
BRANCHIOOCULOFACIAL SYNDROME; BOFS__df6f21e9,BRANCHIOOCULOFACIAL SYNDROME; BOFS,232,BRANCHIOOCULOFACIAL SYNDROME; BOFS,232
Ectodermal dysplasia (select examples)__b4a56494,Ectodermal dysplasia (select examples),363,Ectodermal dysplasia (select examples),363
CLEIDOCRANIAL DYSPLASIA; CCD__a103618e,CLEIDOCRANIAL DYSPLASIA; CCD,105,CLEIDOCRANIAL DYSPLASIA; CCD,105
Mucopolysaccharidoses__dad2c2d0,Mucopolysaccharidoses,8,Mucopolysaccharidoses,8
NICOLAIDES-BARAITSER SYNDROME; NCBRS__78ac980b,NICOLAIDES-BARAITSER SYNDROME; NCBRS,24,NICOLAIDES-BARAITSER SYNDROME; NCBRS,24
NIJMEGEN BREAKAGE SYNDROME; NBS__9c43478a,NIJMEGEN BREAKAGE SYNDROME; NBS,103,NIJMEGEN BREAKAGE SYNDROME; NBS,103
MOWAT-WILSON SYNDROME; MOWS__1bc115aa,MOWAT-WILSON SYNDROME; MOWS,23,MOWAT-WILSON SYNDROME; MOWS,23
Waardenburg syndrome__9ce6c173,Waardenburg syndrome,144,Waardenburg syndrome,144
BORJESON-FORSSMAN-LEHMANN SYNDROME; BFLS__f4c833d9,BORJESON-FORSSMAN-LEHMANN SYNDROME; BFLS,113,BORJESON-FORSSMAN-LEHMANN SYNDROME; BFLS,113
LIG4 SYNDROME__12dd80e6,LIG4 SYNDROME,128,LIG4 SYNDROME,128
CRANIOFRONTONASAL SYNDROME; CFNS__55d125ba,CRANIOFRONTONASAL SYNDROME; CFNS,40,CRANIOFRONTONASAL SYNDROME; CFNS,40
COSTELLO SYNDROME; CSTLO__b18c56a4,COSTELLO SYNDROME; CSTLO,50,COSTELLO SYNDROME; CSTLO,50
DONNAI-BARROW SYNDROME__4d7ff5bc,DONNAI-BARROW SYNDROME,336,DONNAI-BARROW SYNDROME,336
Urofacial syndrome__ab191038,Urofacial syndrome,439,Urofacial syndrome,439
Craniometaphyseal dysplasia__c3b744f5,Craniometaphyseal dysplasia,548,Craniometaphyseal dysplasia,548
Bardet-Biedl syndrome__0e816837,Bardet-Biedl syndrome,46,Bardet-Biedl syndrome,46
FRAGILE X SYNDROME; FXS__0bf4ba77,FRAGILE X SYNDROME; FXS,39,FRAGILE X SYNDROME; FXS,39
HAJDU-CHENEY SYNDROME; HJCYS__c1b1d1c0,HAJDU-CHENEY SYNDROME; HJCYS,288,HAJDU-CHENEY SYNDROME; HJCYS,288
BOHRING-OPITZ SYNDROME; BOPS__93656394,BOHRING-OPITZ SYNDROME; BOPS,132,BOHRING-OPITZ SYNDROME; BOPS,132
BECKWITH-WIEDEMANN SYNDROME; BWS__3e4601cf,BECKWITH-WIEDEMANN SYNDROME; BWS,34,BECKWITH-WIEDEMANN SYNDROME; BWS,34
APERT SYNDROME__246da1f3,APERT SYNDROME,279,APERT SYNDROME,279
GAPO SYNDROME; GAPOS__50fdd0c7,GAPO SYNDROME; GAPOS,195,GAPO SYNDROME; GAPOS,195
MUCOLIPIDOSIS II ALPHA_BETA__08661f5b,MUCOLIPIDOSIS II ALPHA/BETA,32,MUCOLIPIDOSIS II ALPHA/BETA,32
SHORT SYNDROME__ae39926d,SHORT SYNDROME,274,SHORT SYNDROME,274
Auriculocondylar syndrome__39d99ece,Auriculocondylar syndrome,507,Auriculocondylar syndrome,507
COFFIN-LOWRY SYNDROME; CLS__d63ef1d1,COFFIN-LOWRY SYNDROME; CLS,76,COFFIN-LOWRY SYNDROME; CLS,76
VELOCARDIOFACIAL SYNDROME; VCFS__ef485e45,VELOCARDIOFACIAL SYNDROME; VCFS,465,VELOCARDIOFACIAL SYNDROME; VCFS,465
Trichorhinophalangeal syndrome__c65055aa,Trichorhinophalangeal syndrome,26,Trichorhinophalangeal syndrome,26
LATERAL MENINGOCELE SYNDROME; LMNS__d1805985,LATERAL MENINGOCELE SYNDROME; LMNS,299,LATERAL MENINGOCELE SYNDROME; LMNS,299
Opitz GBBB syndrome__534c3422,Opitz GBBB syndrome,78,Opitz GBBB syndrome,78
COCKAYNE SYNDROME B; CSB__008c9d49,COCKAYNE SYNDROME B; CSB,430,COCKAYNE SYNDROME B; CSB,430
ACHONDROPLASIA; ACH__2f7c3c38,ACHONDROPLASIA; ACH,344,ACHONDROPLASIA; ACH,344
CROUZON SYNDROME__021fccb9,CROUZON SYNDROME,33,CROUZON SYNDROME,33
"SCHWARTZ-JAMPEL SYNDROME, TYPE 1; SJS1__a1de0dc4","SCHWARTZ-JAMPEL SYNDROME, TYPE 1; SJS1",508,"SCHWARTZ-JAMPEL SYNDROME, TYPE 1; SJS1",508
PITT-HOPKINS SYNDROME; PTHS__d527d01d,PITT-HOPKINS SYNDROME; PTHS,16,PITT-HOPKINS SYNDROME; PTHS,16
Focal facial dermal dysplasia__3d651cdf,Focal facial dermal dysplasia,340,Focal facial dermal dysplasia,340
"NEURODEVELOPMENTAL DISORDER WITH IMPAIRED INTELLECTUAL DEVELOPMENT, HYPOTONIA, AND ATAXIA; NEDIDHA__7f194027","NEURODEVELOPMENTAL DISORDER WITH IMPAIRED INTELLECTUAL DEVELOPMENT, HYPOTONIA, AND ATAXIA; NEDIDHA",354,"NEURODEVELOPMENTAL DISORDER WITH IMPAIRED INTELLECTUAL DEVELOPMENT, HYPOTONIA, AND ATAXIA; NEDIDHA",354
"DEVELOPMENTAL DELAY WITH SHORT STATURE, DYSMORPHIC FACIAL FEATURES, AND SPARSE HAIR; DEDSSH__06ac2b4a","DEVELOPMENTAL DELAY WITH SHORT STATURE, DYSMORPHIC FACIAL FEATURES, AND SPARSE HAIR; DEDSSH",346,"DEVELOPMENTAL DELAY WITH SHORT STATURE, DYSMORPHIC FACIAL FEATURES, AND SPARSE HAIR; DEDSSH",346
"SPASTIC PARAPLEGIA, INTELLECTUAL DISABILITY, NYSTAGMUS, AND OBESITY; SINO__9d7c4bc3","SPASTIC PARAPLEGIA, INTELLECTUAL DISABILITY, NYSTAGMUS, AND OBESITY; SINO",500,"SPASTIC PARAPLEGIA, INTELLECTUAL DISABILITY, NYSTAGMUS, AND OBESITY; SINO",500
CHUNG-JANSEN SYNDROME; CHUJANS__0001ca13,CHUNG-JANSEN SYNDROME; CHUJANS,44,CHUNG-JANSEN SYNDROME; CHUJANS,44
BAINBRIDGE-ROPERS SYNDROME; BRPS__dbbc187d,BAINBRIDGE-ROPERS SYNDROME; BRPS,70,BAINBRIDGE-ROPERS SYNDROME; BRPS,70
NEURODEVELOPMENTAL DISORDER WITH SPEECH IMPAIRMENT AND DYSMORPHIC FACIES; NEDSID__7a46feed,NEURODEVELOPMENTAL DISORDER WITH SPEECH IMPAIRMENT AND DYSMORPHIC FACIES; NEDSID,175,NEURODEVELOPMENTAL DISORDER WITH SPEECH IMPAIRMENT AND DYSMORPHIC FACIES; NEDSID,175
SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYNDROME; SGS__24611c2f,SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYNDROME; SGS,308,SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYNDROME; SGS,308
CHITAYAT SYNDROME; CHYTS__4d9ce288,CHITAYAT SYNDROME; CHYTS,367,CHITAYAT SYNDROME; CHYTS,367
"GLOBAL DEVELOPMENTAL DELAY, ABSENT OR HYPOPLASTIC CORPUS CALLOSUM, AND DYSMORPHIC FACIES; GDACCF__e5243c57","GLOBAL DEVELOPMENTAL DELAY, ABSENT OR HYPOPLASTIC CORPUS CALLOSUM, AND DYSMORPHIC FACIES; GDACCF",469,"GLOBAL DEVELOPMENTAL DELAY, ABSENT OR HYPOPLASTIC CORPUS CALLOSUM, AND DYSMORPHIC FACIES; GDACCF",469
"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, SEIZURES, AND ABSENT LANGUAGE; NDHSAL__0599b171","NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, SEIZURES, AND ABSENT LANGUAGE; NDHSAL",305,"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, SEIZURES, AND ABSENT LANGUAGE; NDHSAL",305
"FACIAL DYSMORPHISM, HYPERTRICHOSIS, EPILEPSY, INTELLECTUAL_DEVELOPMENTAL DELAY, AND GINGIVAL OVERGROWTH SYNDROME; FHEIG__fdc86ce3","FACIAL DYSMORPHISM, HYPERTRICHOSIS, EPILEPSY, INTELLECTUAL/DEVELOPMENTAL DELAY, AND GINGIVAL OVERGROWTH SYNDROME; FHEIG",475,"FACIAL DYSMORPHISM, HYPERTRICHOSIS, EPILEPSY, INTELLECTUAL/DEVELOPMENTAL DELAY, AND GINGIVAL OVERGROWTH SYNDROME; FHEIG",475
"CLEFT PALATE, CARDIAC DEFECTS, AND MENTAL RETARDATION; CPCMR__7f765b74","CLEFT PALATE, CARDIAC DEFECTS, AND MENTAL RETARDATION; CPCMR",157,"CLEFT PALATE, CARDIAC DEFECTS, AND MENTAL RETARDATION; CPCMR",157
BARTSOCAS-PAPAS SYNDROME 1; BPS1__712537d8,BARTSOCAS-PAPAS SYNDROME 1; BPS1,494,BARTSOCAS-PAPAS SYNDROME 1; BPS1,494
ABLEPHARON-MACROSTOMIA SYNDROME; AMS__0ee470df,ABLEPHARON-MACROSTOMIA SYNDROME; AMS,443,ABLEPHARON-MACROSTOMIA SYNDROME; AMS,443
PIERPONT SYNDROME; PRPTS__59c08023,PIERPONT SYNDROME; PRPTS,211,PIERPONT SYNDROME; PRPTS,211
"CEREBELLAR, OCULAR, CRANIOFACIAL, AND GENITAL SYNDROME; COFG__4e0ec9d8","CEREBELLAR, OCULAR, CRANIOFACIAL, AND GENITAL SYNDROME; COFG",228,"CEREBELLAR, OCULAR, CRANIOFACIAL, AND GENITAL SYNDROME; COFG",228
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 34; MRXS34__58aea021","INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 34; MRXS34",284,"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 34; MRXS34",284
NEURODEVELOPMENTAL DISORDER WITH CENTRAL AND PERIPHERAL MOTOR DYSFUNCTION; NEDCPMD__6cc55f46,NEURODEVELOPMENTAL DISORDER WITH CENTRAL AND PERIPHERAL MOTOR DYSFUNCTION; NEDCPMD,464,NEURODEVELOPMENTAL DISORDER WITH CENTRAL AND PERIPHERAL MOTOR DYSFUNCTION; NEDCPMD,464
Kenny-Caffey syndrome__6452232a,Kenny-Caffey syndrome,524,Kenny-Caffey syndrome,524
Long QT syndrome__72e8008b,Long QT syndrome,259,Long QT syndrome,259
Acrodysostosis__49084ba7,Acrodysostosis,481,Acrodysostosis,481
Arthrogryposis multiplex congenita__57fe8c74,Arthrogryposis multiplex congenita,423,Arthrogryposis multiplex congenita,423
KEIPERT SYNDROME; KPTS__ec74a8be,KEIPERT SYNDROME; KPTS,303,KEIPERT SYNDROME; KPTS,303
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, HACKMANN-DI DONATO TYPE; MRXSHD__ee7855d1","INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, HACKMANN-DI DONATO TYPE; MRXSHD",246,"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, HACKMANN-DI DONATO TYPE; MRXSHD",246
CSNK1G1__957ac5ab,CSNK1G1,449,CSNK1G1,449
"OHDO SYNDROME, X-LINKED; OHDOX__e6da3690","OHDO SYNDROME, X-LINKED; OHDOX",314,"OHDO SYNDROME, X-LINKED; OHDOX",314
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, CLAES-JENSEN TYPE; MRXSCJ__83e6e388","INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, CLAES-JENSEN TYPE; MRXSCJ",247,"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, CLAES-JENSEN TYPE; MRXSCJ",247
MEGALENCEPHALY-CAPILLARY MALFORMATION-POLYMICROGYRIA SYNDROME; MCAP__b25f16a6,MEGALENCEPHALY-CAPILLARY MALFORMATION-POLYMICROGYRIA SYNDROME; MCAP,158,MEGALENCEPHALY-CAPILLARY MALFORMATION-POLYMICROGYRIA SYNDROME; MCAP,158
ALAZAMI SYNDROME; ALAZS__ee8c5ef2,ALAZAMI SYNDROME; ALAZS,266,ALAZAMI SYNDROME; ALAZS,266
SCHUURS-HOEIJMAKERS SYNDROME; SHMS__b6fc8f8b,SCHUURS-HOEIJMAKERS SYNDROME; SHMS,85,SCHUURS-HOEIJMAKERS SYNDROME; SHMS,85
CANTU SYNDROME__a133f1e1,CANTU SYNDROME,77,CANTU SYNDROME,77
TOLCHIN-LE CAIGNEC SYNDROME; TOLCAS__5f2e7f8a,TOLCHIN-LE CAIGNEC SYNDROME; TOLCAS,257,TOLCHIN-LE CAIGNEC SYNDROME; TOLCAS,257
"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, MICROCEPHALY, AND SEIZURES; NEDHYMS__e1bfb9ed","NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, MICROCEPHALY, AND SEIZURES; NEDHYMS",520,"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, MICROCEPHALY, AND SEIZURES; NEDHYMS",520
SANDESTIG-STEFANOVA SYNDROME; SANDSTEF__90de5492,SANDESTIG-STEFANOVA SYNDROME; SANDSTEF,234,SANDESTIG-STEFANOVA SYNDROME; SANDSTEF,234
"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, NEONATAL RESPIRATORY INSUFFICIENCY, AND THERMODYSREGULATION; NEDHRIT__1cd8909a","NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, NEONATAL RESPIRATORY INSUFFICIENCY, AND THERMODYSREGULATION; NEDHRIT",393,"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, NEONATAL RESPIRATORY INSUFFICIENCY, AND THERMODYSREGULATION; NEDHRIT",393
"NABAIS SA-DE VRIES SYNDROME, TYPE 1; NSDVS1__b94f159f","NABAIS SA-DE VRIES SYNDROME, TYPE 1; NSDVS1",519,"NABAIS SA-DE VRIES SYNDROME, TYPE 1; NSDVS1",519
